,SPX/VIX inst_corr,SPX/VIX hist_corr
166,-0.9028168977422553,-0.8480740751910495
167,-0.9028168977422553,-0.8566441115277043
168,-0.9028168977422553,-0.8566162622676795
169,-0.9028168977422553,-0.8498568268541549
170,-0.6601941642270074,-0.8516610345104785
171,-0.9544863339421429,-0.8541909348522306
172,-0.9544863339421429,-0.8505011484412688
173,-0.9544863339421429,-0.8539746658241133
174,-0.8579108999237137,-0.8558910547429401
175,-0.8579108999237137,-0.865525265549294
176,-0.8579108999237137,-0.8671064799714391
177,-0.8579108999237137,-0.8650478634487527
178,-0.8579108999237137,-0.8651248378251126
179,-0.8579108999237137,-0.8550141520346204
180,-0.6763847948838656,-0.8329290339357942
181,-0.6763847948838656,-0.8254282163798703
182,-0.6763847948838656,-0.8363232023446429
183,-0.6763847948838656,-0.822520748435933
184,-0.6763847948838656,-0.8163155346617322
185,-0.6763847948838656,-0.7997010346691779
186,-0.7438499105396896,-0.7982643101514347
187,-0.7438499105396896,-0.8289045928344281
188,-0.7438499105396896,-0.8584375272798891
189,-0.43377375299742654,-0.8576685641475843
190,-0.7436391977170898,-0.8961368713214241
191,-0.7436391977170898,-0.8775257006115932
192,-0.7436391977170898,-0.8914827764963277
193,-0.7436391977170898,-0.8750051181195105
194,-0.8104312237841329,-0.8790189064413646
195,-0.7138967749024238,-0.8892343677773018
196,-0.7138967749024238,-0.8995091368411925
197,-0.7138967749024238,-0.9010526472435889
198,-0.7138967749024238,-0.9092605870885875
199,-0.779923551503245,-0.913538677732394
200,-0.779923551503245,-0.9169723505134357
201,-0.779923551503245,-0.9143754782430169
202,-0.779923551503245,-0.9099075952563096
203,-0.779923551503245,-0.8975435272751954
204,-0.779923551503245,-0.9094355253188898
205,-0.779923551503245,-0.8991850394415991
206,-0.779923551503245,-0.8997675241115961
207,-0.779923551503245,-0.9044106126559216
208,-0.779923551503245,-0.9030421409620852
209,-0.779923551503245,-0.9107702209740092
210,-0.779923551503245,-0.9131104644938695
211,-0.779923551503245,-0.913212853125607
212,-0.779923551503245,-0.9241301950423253
213,-0.779923551503245,-0.9304355459881849
214,-0.779923551503245,-0.9197683920384218
215,-0.779923551503245,-0.9159544024766667
216,-0.779923551503245,-0.9168631903730372
217,-0.779923551503245,-0.9123549972046673
218,-0.779923551503245,-0.8886268354915214
219,-0.779923551503245,-0.8796039750082542
220,-0.779923551503245,-0.887966178926046
221,-0.779923551503245,-0.8785373867111433
222,-0.779923551503245,-0.8311315269499874
223,-0.779923551503245,-0.8572025870624815
224,-0.779923551503245,-0.8471940984249922
225,-0.779923551503245,-0.8543199974002241
226,-0.779923551503245,-0.8373441359447945
227,-0.779923551503245,-0.8622220240567033
228,-0.779923551503245,-0.8473462202699279
229,-0.779923551503245,-0.8338034161253148
230,-0.779923551503245,-0.8400165944156339
231,-0.779923551503245,-0.8310157360698113
232,-0.779923551503245,-0.8188479306135683
233,-0.779923551503245,-0.8243333059558106
234,-0.779923551503245,-0.7752327437121
235,-0.6613513964245518,-0.776428280936739
236,-0.9851265326014952,-0.7713321707952782
237,-0.9851265326014952,-0.8097581505772995
238,-0.9851265326014952,-0.8150918452094933
239,-0.9851265326014952,-0.8336343856202564
240,-0.9851265326014952,-0.8447428449837338
241,-0.9851265326014952,-0.8475077365448513
242,-0.9851265326014952,-0.8574979392634674
243,-0.9851265326014952,-0.8611470178188612
244,-0.9851265326014952,-0.8590571922980967
245,-0.9851265326014952,-0.8509452549472468
246,-0.9851265326014952,-0.8811655068470962
247,-0.9851265326014952,-0.8854878787661468
248,-0.9851265326014952,-0.8831319857344214
249,-0.9851265326014952,-0.8675748458114276
250,-0.9851265326014952,-0.8702310617105945
251,-0.9851265326014952,-0.8758731670760149
252,-0.9851265326014952,-0.8809341899234147
253,-0.9851265326014952,-0.9012187114405218
254,-0.8454585029417143,-0.902640916642095
255,-0.8454585029417143,-0.9243442195634817
256,-0.8454585029417143,-0.9220885863298642
257,-0.8454585029417143,-0.9253337953045842
258,-0.8454585029417143,-0.9232528770265255
259,-0.8454585029417143,-0.9129436592482111
260,-0.8454585029417143,-0.929404186227979
261,-0.8454585029417143,-0.9120471228981324
262,-0.8454585029417143,-0.9078956942926901
263,-0.8454585029417143,-0.9185104168507608
264,-0.8454585029417143,-0.9119243178403484
265,-0.8454585029417143,-0.9086454249362949
266,-0.8454585029417143,-0.9158587928458032
267,-0.8454585029417143,-0.9189548851646479
268,-0.8454585029417143,-0.9190027821907132
269,-0.8454585029417143,-0.9150501117204588
270,-0.8454585029417143,-0.9191832004545232
271,-0.8454585029417143,-0.9204999998698592
272,-0.8454585029417143,-0.9223060262536722
273,-0.8454585029417143,-0.918987731144106
274,-0.8454585029417143,-0.921039614974369
275,-0.8454585029417143,-0.9136941821741388
276,-0.8454585029417143,-0.8890828993856373
277,-0.8454585029417143,-0.8233996729502346
278,-0.8454585029417143,-0.866655112771928
279,-0.8454585029417143,-0.8537985307691545
280,-0.8454585029417143,-0.8330565901687776
281,-0.8454585029417143,-0.8476278033347203
282,-0.8454585029417143,-0.8470677854800366
283,-0.8454585029417143,-0.8466939415412643
284,-0.8454585029417143,-0.838434066565906
285,-0.8454585029417143,-0.8227452932537634
286,-0.8454585029417143,-0.8204680857910216
287,-0.8454585029417143,-0.8293564939057546
288,-0.8454585029417143,-0.8336976744953218
289,-0.8454585029417143,-0.8230992544461646
290,-0.8454585029417143,-0.8419201824682895
291,-0.8454585029417143,-0.85585643109762
292,-0.8454585029417143,-0.8643142617417862
293,-0.8454585029417143,-0.8669583676524378
294,-0.8454585029417143,-0.8616759187657199
295,-0.8454585029417143,-0.8552171960784197
296,-0.8454585029417143,-0.8359769787137686
297,-0.8454585029417143,-0.8405211902045702
298,-0.8454585029417143,-0.8883576302131806
299,-0.8454585029417143,-0.8492563341272145
300,-0.8454585029417143,-0.8447497416758573
301,-0.8454585029417143,-0.8203616869879532
302,-0.8454585029417143,-0.8391584196589557
303,-0.8454585029417143,-0.81563518623241
304,-0.8454585029417143,-0.8092113074623244
305,-0.8454585029417143,-0.8088997873400411
306,-0.8454585029417143,-0.8086214619767313
307,-0.8454585029417143,-0.8004653219072474
308,-0.8454585029417143,-0.8009549235902949
309,-0.8454585029417143,-0.803713833067316
310,-0.8454585029417143,-0.7659630459311537
311,-0.8454585029417143,-0.7619740627175129
312,-0.8454585029417143,-0.7336758238231154
313,-0.8454585029417143,-0.7260784790504348
314,-0.8454585029417143,-0.7089034695497963
315,-0.8454585029417143,-0.670092857517964
316,-0.8454585029417143,-0.6095151418870892
317,-0.8454585029417143,-0.6180851224280951
318,-0.8454585029417143,-0.6597803106682486
319,-0.8454585029417143,-0.6620405623086352
320,-0.8454585029417143,-0.6639672104028901
321,-0.8454585029417143,-0.7523359366590976
322,-0.8454585029417143,-0.7521044389167705
323,-0.8454585029417143,-0.761447930682667
324,-0.8454585029417143,-0.7362719434887179
325,-0.8454585029417143,-0.7497398943561918
326,-0.8454585029417143,-0.8083340704060967
327,-0.9208242150939413,-0.7969389119998832
328,-0.9208242150939413,-0.7821653710986448
329,-0.6686994566469098,-0.7843048405098755
330,-0.6662920942167864,-0.9107742625896812
331,-0.6662920942167864,-0.8615485380203037
332,-0.6662920942167864,-0.8802924929356077
333,-0.8551945154267993,-0.8683420595483984
334,-0.9776283873316469,-0.890771155428429
335,-0.9776283873316469,-0.8960659658806371
336,-0.9776283873316469,-0.9002132754017901
337,-0.9776283873316469,-0.9074570868717177
338,-0.9776283873316469,-0.9144516571083741
339,-0.7091245493887844,-0.9145224987022532
340,-0.8742990749628363,-0.9106414725175035
341,-0.8742990749628363,-0.8885742002300665
342,-0.8742990749628363,-0.8524387355654797
343,-0.8742990749628363,-0.8491742220653784
344,-0.8742990749628363,-0.8466907015309982
345,-0.9438376717691682,-0.8536425568066542
346,-0.9438376717691682,-0.8595577269151676
347,-0.9438376717691682,-0.8573229949630141
348,-0.9438376717691682,-0.8742757901406164
349,-0.8992145611858718,-0.8705535904612667
350,-0.9445487903276788,-0.8891002791540131
351,-0.9445487903276788,-0.8892595191476053
352,-0.9445487903276788,-0.8766164869822445
353,-0.8594190663011249,-0.8852505212946105
354,-0.8594190663011249,-0.8804654837469763
355,-0.8594190663011249,-0.8846121149823136
356,-0.8594190663011249,-0.8710356795439833
357,-0.8594190663011249,-0.8577087810277267
358,-0.9443645714125065,-0.8629407433214822
359,-0.9443645714125065,-0.8724201897661492
360,-0.9443645714125065,-0.8714006330438754
361,-0.9443645714125065,-0.8728606350665918
362,-0.9443645714125065,-0.8482453808274083
363,-0.9866107815355875,-0.8679913885917063
364,-0.9866107815355875,-0.8531406445440401
