,SPX/VIX inst_corr,SPX/VIX hist_corr,LBEATREU/M1CXIAMA inst_corr,LBEATREU/M1CXIAMA hist_corr,GBIEMDCW/SHCOMP inst_corr,GBIEMDCW/SHCOMP hist_corr
128,-2.1401884722926865,,0.2033586486295669,0.4184651851144352,,
129,-2.1401884722926865,,0.33172411057763274,0.4280379538922893,,
130,-2.1401884722926865,,0.8594727880407835,0.3895594490907237,,
131,-2.1401884722926865,,0.7304470622806313,0.12934128193890243,,
132,-2.1401884722926865,,0.7304470622806313,0.11382186521395596,2.6266174780104516,
133,-2.1401884722926865,,0.7304470622806313,0.11351453493965083,2.6266174780104516,
134,-2.1401884722926865,,0.7304470622806313,0.2219700032272343,2.6266174780104516,
135,-2.1401884722926865,,0.9181324531708019,0.3102402498492531,0.9636205880328613,
136,-2.1401884722926865,-0.7597697792847258,0.8919030471026861,0.3136349478806969,0.8474321484815569,
137,-2.1401884722926865,-0.7369705638937197,0.1327760296707311,0.26976169403883843,0.8474321484815569,
138,-2.1401884722926865,-0.6869580125441169,-0.1935645013180829,0.15760149220130507,0.8474321484815569,
139,-2.1401884722926865,-0.7423536895840347,0.046431266556055874,0.13205832137099727,0.9064154168978595,
140,-2.1401884722926865,-0.7472961399915655,0.5037884258638196,0.123186641061216,0.9064154168978595,
141,-2.1401884722926865,-0.7374871744490826,0.8976621403859024,0.12704538771649235,0.9064154168978595,
142,-2.1401884722926865,-0.6881812618173162,0.6969588032414306,0.11872735154488417,0.6566566648329221,
143,-2.1401884722926865,-0.6340303844600912,0.5958047417902929,0.24578544445845993,0.2592043063102364,
144,-2.1401884722926865,-0.6782467372774255,0.8488974019224181,0.2172744124235399,-0.053344511556874384,
145,-2.1401884722926865,-0.6138943107184333,0.6574817976360131,0.20687714133983,0.025162541113085787,
146,-2.1401884722926865,-0.6200828504845203,0.43419178145137954,0.19378936355371587,0.025162541113085787,
147,-2.1401884722926865,-0.5597852525957335,0.7242845594265469,0.13651871203039825,0.025162541113085787,
148,-2.1401884722926865,-0.5747383292698,0.6956961626138131,0.3356881926713915,0.025162541113085787,
149,-2.1401884722926865,-0.555272333882096,0.1360523814886153,0.33583864821392834,0.9424989504442947,
150,-2.1401884722926865,-0.6053251150055848,-0.159253791959228,0.2105873211939517,0.73856611044707,
151,-0.7557505605085874,-0.6069090695148803,0.658424556784401,0.15060281961722607,0.73856611044707,
152,-0.8442619078560193,-0.6196665274417131,0.6432836258933161,0.3177758806368216,0.5716417695111073,
153,-0.8442619078560193,-0.7029908591145657,0.5553556202144255,0.6392562272854914,0.3566431252876969,
154,-0.6928228963803528,-0.6751612731251282,0.5498417338855011,0.5352938726782134,0.3566431252876969,-0.06894721783900067
155,-0.720359921024013,-0.6305162759402335,0.3720555282538628,0.5273348813198929,0.3566431252876969,-0.03731904960122789
156,-0.2784927850105566,-0.5994990249485549,0.848598651038757,0.5602901976794568,0.3566431252876969,-0.05370943860542127
157,-0.3362261311317,-0.7392578809805511,0.848598651038757,0.5631575789301194,0.3566431252876969,-0.0473314252663197
158,-0.3362261311317,-0.9040973319430065,0.848598651038757,0.5777402880343818,0.8139462566925654,-0.016540152656492113
159,-0.3362261311317,-0.9139113788765252,0.4536376184476401,0.584902929974085,0.38363407552055917,-0.09418463078829664
160,-0.3449861718761631,-0.8915693339755503,0.49742080256622934,0.6575762573478121,0.38363407552055917,-0.07358456008694367
161,-0.3449861718761631,-0.8219483389111888,0.7408346246157198,0.6709510745648425,0.38363407552055917,-0.06969848801107334
162,-0.3449861718761631,-0.8326639272514462,0.7546985607728748,0.670775894408433,0.4939063729657203,-0.14292733697793591
163,-0.3449861718761631,-0.8409781559937429,0.12811838142177437,0.6771829940411456,0.2339290285657431,-0.23249866096402697
164,-0.5963608254347076,-0.8437386182534955,-0.21181133628809562,0.633525258540749,0.2180725171201418,-0.2079305695389399
165,-0.9028168977422553,-0.854229467640223,0.2690752078276607,0.6196719302195692,0.4610746323931289,-0.1259643751872193
166,-0.9028168977422553,-0.8480740751910495,0.7372102355056065,0.6259088194725775,0.4610746323931289,-0.01311726281458059
167,-0.9028168977422553,-0.8566441115277043,0.7535395665357375,0.630891798633208,0.4610746323931289,0.03712846210460057
168,-0.9028168977422553,-0.8566162622676795,0.500379898972298,0.6384041842477712,0.6215313509994074,-0.12135675621615222
169,-0.9028168977422553,-0.8498568268541549,0.3314111747734933,0.6493547361252496,0.6215313509994074,-0.1234871926580269
170,-0.6601941642270074,-0.8516610345104785,0.30938046328904517,0.6121412068273184,0.6215313509994074,0.1379928895152932
171,-0.9544863339421429,-0.8541909348522306,0.6089165304964453,0.6291707786760102,0.7956652291202605,0.17682765711738893
172,-0.9544863339421429,-0.8505011484412688,0.6089165304964453,0.681804194160611,0.5437302207163038,0.20297381386509683
173,-0.9544863339421429,-0.8539746658241133,0.8456136329969711,0.7217414314721622,0.2463148747923533,0.20737660412387465
174,-0.8579108999237137,-0.8558910547429401,0.7602723127876105,0.7051576088332251,-0.0855180952708116,0.13399803985626355
175,-0.8579108999237137,-0.865525265549294,0.764348074912437,0.5599814595190808,-0.10970448950751525,0.07924931282548191
176,-0.8579108999237137,-0.8671064799714391,0.5378656431354059,0.67309482952421,0.07372198265464266,0.07500145471680074
177,-0.8579108999237137,-0.8650478634487527,0.7912788981846067,0.685335868445846,0.083902536786327,-0.01301497622803162
178,-0.8579108999237137,-0.8651248378251126,0.7912788981846067,0.6351917310675108,0.2593365923709985,0.12927493199807288
179,-0.8579108999237137,-0.8550141520346204,0.6507130775172753,0.6302758064338068,0.2593365923709985,0.41696533979552275
180,-0.6763847948838656,-0.8329290339357942,0.16890389987378593,0.6151616961376976,0.2593365923709985,0.4346109441590282
181,-0.6763847948838656,-0.8254282163798703,0.2845561299912747,0.5977134525008428,0.4006656100505619,0.4454935830537821
182,-0.6763847948838656,-0.8363232023446429,0.2958662524189681,0.49700968112826394,0.5470973620757303,0.41568414651046726
183,-0.6763847948838656,-0.822520748435933,-0.035604639248377624,0.44759755573313315,0.5470973620757303,0.509838614650953
184,-0.6763847948838656,-0.8163155346617322,0.147542115922521,0.45126676171373226,0.9741455278494482,0.5174747946957915
185,-0.6763847948838656,-0.7997010346691779,0.3520280941711993,0.38397705884330136,0.9741455278494482,0.5521179731428462
186,-0.7438499105396896,-0.7982643101514347,0.5129995837909259,0.5780455207303042,0.9741455278494482,0.5582410236234797
187,-0.7438499105396896,-0.8289045928344281,0.5284276573685275,0.5442124774236512,0.9338704836910203,0.5553695489706578
188,-0.7438499105396896,-0.8584375272798891,0.27353110626222044,0.5005569577959228,0.9338704836910203,0.5393115708743998
189,-0.43377375299742654,-0.8576685641475843,0.4505373572315965,0.5085519251107948,0.9338704836910203,0.5439842904410268
190,-0.7436391977170898,-0.8961368713214241,0.4684464993396404,0.5255298991051022,0.9338704836910203,0.5557977517964958
191,-0.7436391977170898,-0.8775257006115932,0.739233733189199,0.5187365621304867,0.9338704836910203,0.5672889023605676
192,-0.7436391977170898,-0.8914827764963277,0.739233733189199,0.5374574460462006,0.9338704836910203,0.5624460879223909
193,-0.7436391977170898,-0.8750051181195105,0.9328457690648669,0.5183376057104052,0.9338704836910203,0.5723832924055877
194,-0.8104312237841329,-0.8790189064413646,0.9328457690648669,0.4858164500946441,0.9338704836910203,0.5849101499745059
195,-0.7138967749024238,-0.8892343677773018,0.9328457690648669,0.39730420660710136,0.9338704836910203,0.5911330810515311
196,-0.7138967749024238,-0.8995091368411925,0.9328457690648669,0.40394966422504025,0.9338704836910203,0.6445404929899871
197,-0.7138967749024238,-0.9010526472435889,0.8289798265190821,0.399071404066612,0.9338704836910203,0.6843855805597577
198,-0.7138967749024238,-0.9092605870885875,0.6239349081917999,0.4313984744451797,0.9338704836910203,0.7478725828233446
199,-0.779923551503245,-0.913538677732394,0.7929754581771215,0.38946756394635446,0.5683767458540641,0.8094248347661843
200,-0.779923551503245,-0.9169723505134357,0.359366521047239,0.38746519604613017,0.17370900611799173,0.7939812440606094
201,-0.779923551503245,-0.9143754782430169,-0.06174345149199508,0.3818063170553991,-0.12232540458513068,0.5465901057900631
202,-0.779923551503245,-0.9099075952563096,0.09036122780200459,0.3508048182899595,-0.07290494447630276,0.5421324755164995
203,-0.779923551503245,-0.8975435272751954,0.8364290103736834,0.3534039487708314,0.30044687240441337,0.557325119436556
204,-0.779923551503245,-0.9094355253188898,0.9983061837816056,0.38534685806619023,0.30044687240441337,0.6697266176631145
205,-0.779923551503245,-0.8991850394415991,0.7750773058343899,0.4792197636345683,0.30044687240441337,0.5332619443037789
206,-0.779923551503245,-0.8997675241115961,0.8046404282045533,0.48285702891062376,0.7400406598201215,0.5642713552967603
207,-0.779923551503245,-0.9044106126559216,0.6863186300751977,0.516303981647151,0.42703086250029004,0.4338803060131514
208,-0.779923551503245,-0.9030421409620852,0.713302164721358,0.34281739146634443,0.42703086250029004,0.5082246632847015
209,-0.779923551503245,-0.9107702209740092,0.7572434071937804,0.48776663827942135,0.42703086250029004,0.4853590264553821
210,-0.779923551503245,-0.9131104644938695,0.7001596979638556,0.5081696500742544,0.6571953251760945,0.48899557055969234
211,-0.779923551503245,-0.913212853125607,0.5425655294627736,0.43534525753074743,0.6153102061685409,0.48296107216797846
212,-0.779923551503245,-0.9241301950423253,0.5052939363958786,0.5385256954904443,0.0561428358102989,0.48796720715175823
213,-0.779923551503245,-0.9304355459881849,0.5052939363958786,0.5289771203683824,-0.09954303832921982,0.34967383081464354
214,-0.779923551503245,-0.9197683920384218,0.06474513275674976,0.508639560106416,-0.09954303832921982,0.33989831319967856
215,-0.779923551503245,-0.9159544024766667,-0.2758909222301712,0.3810815702411006,-0.09954303832921982,0.31369835926157463
216,-0.779923551503245,-0.9168631903730372,0.20339308442077958,0.3101322781437519,0.6551676496315181,0.3122940381500417
217,-0.779923551503245,-0.9123549972046673,0.6634451502011323,0.3304050009128077,0.8179266918076002,0.38159129787190094
218,-0.779923551503245,-0.8886268354915214,0.31270969745818505,0.2703111770759551,0.450066129948475,0.3841103960101638
219,-0.779923551503245,-0.8796039750082542,0.4246515637073258,0.2489306462299991,-0.05936099750165421,0.3965716253731842
220,-0.779923551503245,-0.887966178926046,0.7741566167393895,0.2758827173408416,0.025489268224852327,0.2568762750025643
221,-0.779923551503245,-0.8785373867111433,0.7741566167393895,0.2573607907242535,0.36445885321928967,0.3039566409357054
222,-0.779923551503245,-0.8311315269499874,0.7741566167393895,0.267155489812456,0.30930346930033586,0.30983649488155973
223,-0.779923551503245,-0.8572025870624815,0.7741566167393895,0.3689650703852732,0.3904263254298166,0.31779176168889683
224,-0.779923551503245,-0.8471940984249922,0.7741566167393895,0.40430061829996694,0.3503745778040198,0.29593943961085895
225,-0.779923551503245,-0.8543199974002241,0.7741566167393895,0.40322426880529577,0.003962803499863226,0.2859047524004024
226,-0.779923551503245,-0.8373441359447945,0.7741566167393895,0.3958069121897558,-0.02254552225790506,0.18186350442314958
227,-0.779923551503245,-0.8622220240567033,0.7741566167393895,0.38473838056627446,0.11302465504353691,0.13527489142361562
228,-0.779923551503245,-0.8473462202699279,0.7741566167393895,0.33989010019298055,0.19482529431194076,0.022328722405202537
229,-0.779923551503245,-0.8338034161253148,0.9893526517269062,0.3894272486090207,0.20744908288827188,0.07501745129487539
230,-0.779923551503245,-0.8400165944156339,0.9893526517269062,0.35864383032327535,0.03386545938111279,-0.016423344932025775
231,-0.779923551503245,-0.8310157360698113,0.9411842084822042,0.3606426572268493,-0.6039890777370813,-0.08159103928267714
232,-0.779923551503245,-0.8188479306135683,0.03329791658305291,0.34522889876209645,-0.14179144492842743,-0.04608884893435347
233,-0.779923551503245,-0.8243333059558106,0.22085722903823876,0.21834496864710953,0.7657993393221997,0.036154209773786423
234,-0.779923551503245,-0.7752327437121,0.22085722903823876,0.26653541135119707,0.9755845219079304,0.00856289136310004
235,-0.6613513964245518,-0.776428280936739,0.8679571964825185,0.33303126640279446,0.10622526541431103,0.012748476230167565
236,-0.9851265326014952,-0.7713321707952782,0.5820948441809483,0.3079687657066028,-0.41484810437278197,-0.04195760138669991
237,-0.9851265326014952,-0.8097581505772995,0.5490904962513182,0.5241543516236544,-0.3729289528855202,-0.0461333087151346
238,-0.9851265326014952,-0.8150918452094933,0.22993698632923698,0.4708963454673893,0.3656705197125413,-0.019266638661437758
239,-0.9851265326014952,-0.8336343856202564,0.36866103488854624,0.43334186734234587,-0.14149671845444348,-0.04780192127366654
240,-0.9851265326014952,-0.8447428449837338,0.8821887549106235,0.4632214274484822,-0.8121394792343042,-0.020135296206989558
241,-0.9851265326014952,-0.8475077365448513,0.8821887549106235,0.4881729164617698,-0.45161134557134974,-0.05200009539947253
242,-0.9851265326014952,-0.8574979392634674,0.9113581241357814,0.4546992349395903,-0.35588117591847407,-0.1328918738729553
243,-0.9851265326014952,-0.8611470178188612,0.9445482251636904,0.46763719653155883,-0.03868089515978909,-0.20880207656217284
244,-0.9851265326014952,-0.8590571922980967,0.9445482251636904,0.432779496758714,0.4644234301059339,-0.23853007757255715
245,-0.9851265326014952,-0.8509452549472468,0.04130055407143041,0.3957782982537665,0.5774974865550946,-0.283045510349717
246,-0.9851265326014952,-0.8811655068470962,-0.16792073285204553,0.252805235634223,0.058578004531861155,-0.2095772388103728
247,-0.9851265326014952,-0.8854878787661468,-0.009529130839250442,0.24685306339149182,-0.44558339523888063,-0.25334524019917726
248,-0.9851265326014952,-0.8831319857344214,-0.012202519515272814,0.11222430298882557,0.451615617274468,-0.23054348832798208
249,-0.9851265326014952,-0.8675748458114276,0.08632169491054797,0.1421841469352291,0.451615617274468,-0.24446887579277973
250,-0.9851265326014952,-0.8702310617105945,-0.09708725738778977,0.05008023888556584,0.7318265941212992,-0.22178055534412344
251,-0.9851265326014952,-0.8758731670760149,0.04627431266867784,0.020151117942402704,0.6446443693876469,-0.2210566394079059
252,-0.9851265326014952,-0.8809341899234147,0.34369329010561456,0.045063885467635706,0.4220669429776237,-0.21694891344196304
253,-0.9851265326014952,-0.9012187114405218,0.2993873606984958,0.05558820334537997,0.47707165674248936,-0.1343237337356316
254,-0.8454585029417143,-0.902640916642095,0.2705152468957487,0.12651934154429234,0.39693709692610935,-0.11857390096463584
255,-0.8454585029417143,-0.9243442195634817,-0.12250835965232637,0.13181493901660252,-0.15869715168979542,-0.2937749086102568
256,-0.8454585029417143,-0.9220885863298642,-0.304093876980057,0.012203118487812699,-0.012510163666904757,-0.27353658941511055
257,-0.8454585029417143,-0.9253337953045842,-0.06412644034834339,-0.03963218667409731,0.31471033024147804,-0.27402490338414864
258,-0.8454585029417143,-0.9232528770265255,0.031920548803298886,-0.03060300528006202,0.3217767097239421,-0.21626121066753645
259,-0.8454585029417143,-0.9129436592482111,0.5211573656222208,-0.04290076202820757,0.8535489864295237,0.21773896380649485
260,-0.8454585029417143,-0.929404186227979,0.901431379285976,0.02712818641722922,0.8535489864295237,0.243940733433139
261,-0.8454585029417143,-0.9120471228981324,0.3910873059699524,-0.0031504249001049894,0.13943038769881178,0.2491336994478794
262,-0.8454585029417143,-0.9078956942926901,0.5742806157044643,-0.05402127570302305,0.5405317575568338,0.30872151891701166
263,-0.8454585029417143,-0.9185104168507608,0.9121092116570705,-0.07676160225627256,0.8677720520445329,0.30508899273185575
264,-0.8454585029417143,-0.9119243178403484,0.910635288716185,-0.016646924595998636,0.7014848476953215,0.37411415568407663
265,-0.8454585029417143,-0.9086454249362949,0.8679881671851578,0.02279545322874066,0.8127204797879404,0.38396254733733026
266,-0.8454585029417143,-0.9158587928458032,0.8679881671851578,0.014961555246186429,0.9196469112710106,0.38418387558170847
267,-0.8454585029417143,-0.9189548851646479,0.8679881671851578,0.010179816043563326,0.4347645195194214,0.38614341103814115
268,-0.8454585029417143,-0.9190027821907132,0.870309717541525,0.0519837913203872,0.5422820539486108,0.3745392617751485
269,-0.8454585029417143,-0.9150501117204588,0.6250325392423673,0.059073872599393715,0.40481912867349445,0.5275825564707569
270,-0.8454585029417143,-0.9191832004545232,0.4245232067205337,0.12058692185508345,-0.1377943150504867,0.40858498709453583
271,-0.8454585029417143,-0.9204999998698592,0.4698862190336352,0.11250661001088598,0.14734998713456493,0.4259005577763297
272,-0.8454585029417143,-0.9223060262536722,0.6830112238386795,0.18305095851233863,0.6452390724222539,0.4944991535743897
273,-0.8454585029417143,-0.918987731144106,0.42820469114141974,0.27098451196031553,0.6452390724222539,0.5085049479601753
274,-0.8454585029417143,-0.921039614974369,-0.034038094808985196,0.17547282865420472,0.833959383708736,0.5277143112749166
275,-0.8454585029417143,-0.9136941821741388,-0.16019397898793106,0.17119418457310007,0.4803903086410926,0.5079102642709596
276,-0.8454585029417143,-0.8890828993856373,0.34210003183696674,0.15790758901566435,0.43360734457790073,0.50606871072395
277,-0.8454585029417143,-0.8233996729502346,0.6930928490493788,0.17704991189334995,0.9295713622688254,0.5682497715216944
278,-0.8454585029417143,-0.866655112771928,0.6930928490493788,0.27371930775872366,0.8875543639174632,0.561522916934772
279,-0.8454585029417143,-0.8537985307691545,0.8793075264597092,0.27442934259506097,0.5586055478848092,0.5608381649956384
280,-0.8454585029417143,-0.8330565901687776,0.7972519509433585,0.3715323829426162,0.1842173879675279,0.5589280927686878
281,-0.8454585029417143,-0.8476278033347203,0.6734519670625568,0.32978737864186813,0.17752504579926764,0.30008242578337013
282,-0.8454585029417143,-0.8470677854800366,0.013553276782966455,0.32320790363851054,0.0638860497951676,0.23837695495752642
283,-0.8454585029417143,-0.8466939415412643,0.018297152604048076,0.23721116719160967,-0.140632400629777,0.24839463112063273
284,-0.8454585029417143,-0.838434066565906,0.8514370792009063,0.26157464225734867,-0.06105406835302228,0.23330784367191998
285,-0.8454585029417143,-0.8227452932537634,0.8514370792009063,0.2704198453039968,0.18051549332219904,0.15484015301385853
286,-0.8454585029417143,-0.8204680857910216,0.6094796277299577,0.21600845692613613,0.839404362479871,0.1409229262260007
287,-0.8454585029417143,-0.8293564939057546,0.32116859282921734,0.15176634092670335,0.839404362479871,0.12929781419015524
288,-0.8454585029417143,-0.8336976744953218,-0.19813494056587677,0.09935233951623339,0.7541252417032073,0.11492815011533719
289,-0.8454585029417143,-0.8230992544461646,-0.4813884441898316,-0.1396931858037178,0.6902221765614684,0.23926111350908452
290,-0.8454585029417143,-0.8419201824682895,-0.8233022119085283,-0.1754444568576237,0.5234715485049533,0.2356460965465786
291,-0.8454585029417143,-0.85585643109762,-0.2038487136744339,-0.19568458958701865,0.06957400587838794,0.19617456408149886
292,-0.8454585029417143,-0.8643142617417862,0.18412782616146992,-0.13386001461973202,-0.30047901092705065,0.3630323393574498
293,-0.8454585029417143,-0.8669583676524378,0.0037214890578157905,-0.24061263066848707,-0.09240172852767968,0.25820033683021854
294,-0.8454585029417143,-0.8616759187657199,0.03151561062827341,-0.2695109262015946,0.17559425791090827,0.16048408109656284
295,-0.8454585029417143,-0.8552171960784197,0.46943159421799635,-0.37776493022260554,0.03488935945786925,0.09990820536271476
296,-0.8454585029417143,-0.8359769787137686,0.22085483553507249,-0.2662830402891257,0.13654071470277687,0.037709119627008264
297,-0.8454585029417143,-0.8405211902045702,0.37027316919214,-0.20211280445873395,-0.01738306346761594,0.011453745124008404
298,-0.8454585029417143,-0.8883576302131806,0.37027316919214,-0.1953511532978917,-0.03676358281182624,0.011155699585617332
299,-0.8454585029417143,-0.8492563341272145,0.37027316919214,-0.22986951938077993,0.2050489707126499,-0.007150925799093727
300,-0.8454585029417143,-0.8447497416758573,0.7172554443962446,-0.2530521480595446,0.18884085461924316,-0.030991249541087795
301,-0.8454585029417143,-0.8203616869879532,0.7428256781293608,-0.2460533029999913,0.13439323332521333,-0.04279128492535009
302,-0.8454585029417143,-0.8391584196589557,0.8776470069572804,-0.33789813454958795,0.5923117903169693,-0.028498336692179663
303,-0.8454585029417143,-0.81563518623241,0.9882490301950269,-0.3361587967668922,0.3401140901913346,-0.018147442276173053
304,-0.8454585029417143,-0.8092113074623244,0.505745263142827,-0.05862597039197163,-0.17481832925479698,-0.022979204137238245
305,-0.8454585029417143,-0.8088997873400411,0.41856089393978874,0.052498398404803706,-0.18433139443592797,-0.022612871628809914
306,-0.8454585029417143,-0.8086214619767313,0.40350407526197357,0.035160056045296414,0.3973522943702377,-0.03507180302890365
307,-0.8454585029417143,-0.8004653219072474,0.06876413624912951,-0.01074143273950684,0.8377558914727135,0.018195016452816945
308,-0.8454585029417143,-0.8009549235902949,0.06989481371934116,-0.014835159578154254,0.8377558914727135,0.020273510908657966
309,-0.8454585029417143,-0.803713833067316,-0.6584651632816958,-0.025570573771349078,0.7742399287749877,0.02391436284000114
310,-0.8454585029417143,-0.7659630459311537,-0.5408646642630095,-0.16577286166280003,0.6419434612943747,0.03833699671015537
311,-0.8454585029417143,-0.7619740627175129,-0.16286112070446704,0.04057616888199962,0.03618681837117564,-0.009045979491616526
312,-0.8454585029417143,-0.7336758238231154,0.021678558688034533,0.01635219013532362,-0.5369527350128321,-0.08583083495383943
313,-0.8454585029417143,-0.7260784790504348,0.05794725359707761,-0.0020142883848947657,-0.3961726868771497,-0.08440054161014729
314,-0.8454585029417143,-0.7089034695497963,0.44529617289230644,-0.02069012885297263,0.12599790835657318,-0.10768372953272737
315,-0.8454585029417143,-0.670092857517964,0.4606648492610027,0.014600332465522867,0.24465877802019662,-0.10706213343198043
316,-0.8454585029417143,-0.6095151418870892,0.7927165407214117,0.0715554112334867,0.7949738970658556,-0.1009565668651928
317,-0.8454585029417143,-0.6180851224280951,0.8433860525239172,0.07863430363603068,0.7949738970658556,-0.08416123743817967
318,-0.8454585029417143,-0.6597803106682486,0.7191964454835938,0.09001320753378801,0.787532445018073,-0.07031566024433827
319,-0.8454585029417143,-0.6620405623086352,0.7191964454835938,0.05448163165345626,0.800815707213808,0.022432976918686467
320,-0.8454585029417143,-0.6639672104028901,0.7191964454835938,0.052471513620056004,0.6596742218553843,0.02481296626686593
321,-0.8454585029417143,-0.7523359366590976,0.7191964454835938,0.05078917922293345,0.3288176079711457,0.04893580041529775
322,-0.8454585029417143,-0.7521044389167705,0.7191964454835938,0.08472429776850322,0.12183655472789179,0.039750583753161005
323,-0.8454585029417143,-0.761447930682667,0.7189526521940979,0.16356744780774093,0.14658251805816472,0.07647738201000864
324,-0.8454585029417143,-0.7362719434887179,0.5087903923691988,0.18294849397409474,0.1645184651441066,0.060430387690209114
325,-0.8454585029417143,-0.7497398943561918,0.03215285850276294,0.11875643561936439,0.5877529740515222,0.11423522568031874
326,-0.8454585029417143,-0.8083340704060967,0.2989906385225374,-0.022640945542786457,0.5877529740515222,0.15998420129272328
327,-0.9208242150939413,-0.7969389119998832,0.37729362031087177,0.0004160694228960974,0.38844897250409,0.18445957087334397
328,-0.9208242150939413,-0.7821653710986448,0.2363332466343085,0.035541254029282536,0.5351033154416672,0.136122522319069
329,-0.6686994566469098,-0.7843048405098755,0.3644079472567171,0.03870680864980814,0.7820613936232083,0.1282537908950876
330,-0.6662920942167864,-0.9107742625896812,0.5726139475186136,0.30855057658409935,0.8346051490401287,0.4934367923500713
331,-0.6662920942167864,-0.8615485380203037,0.5913448933003315,0.3158759572268408,0.27851809406422373,0.4901077963380458
332,-0.6662920942167864,-0.8802924929356077,0.8166765485550255,0.46223098079346747,0.19244641831741774,0.3602941768852211
333,-0.8551945154267993,-0.8683420595483984,0.5458132333604987,0.46442719264413396,0.47168641127015387,0.3709213345322358
334,-0.9776283873316469,-0.890771155428429,0.13169112781370174,0.45514855332376425,0.2652615444281768,0.45592873129871714
335,-0.9776283873316469,-0.8960659658806371,0.036715479751283364,0.47321487886206937,-0.10318145560940505,0.461158065491297
336,-0.9776283873316469,-0.9002132754017901,-0.4093728058069137,0.46849439434125606,0.394938999591538,0.4764652049200794
337,-0.9776283873316469,-0.9074570868717177,-0.008408960876603278,0.36661946882601343,0.3213015967246749,0.5097795258318729
338,-0.9776283873316469,-0.9144516571083741,0.38267829827930516,0.37933933054418884,-0.1458086665716294,0.42370340477440593
339,-0.7091245493887844,-0.9145224987022532,0.12262390184506346,0.38355858070757204,-0.2650575780468422,0.3470269550995336
340,-0.8742990749628363,-0.9106414725175035,-0.030675586817272643,0.26894124599817276,0.08315702069970317,0.3600415000913789
341,-0.8742990749628363,-0.8885742002300665,0.1757385699253133,0.2413006684156666,0.643288264838736,0.33732391461425715
342,-0.8742990749628363,-0.8524387355654797,0.2180814675025228,0.1798877071501903,0.643288264838736,0.34197779463755784
343,-0.8742990749628363,-0.8491742220653784,0.1673498759534212,0.19050875489713304,0.7070145770504753,0.334395028943939
344,-0.8742990749628363,-0.8466907015309982,0.20908159189412706,0.2402017196034612,0.6991042357447604,0.37337695404037946
345,-0.9438376717691682,-0.8536425568066542,0.2634598194104092,0.22150225292528042,0.44491667208952446,0.3525035254654343
346,-0.9438376717691682,-0.8595577269151676,0.6690076068689477,0.2507891238657811,0.2257943436130458,0.3519037319528687
