,FNERTR/VIX inst_corr,FNERTR/VIX hist_corr
170,-0.4796641363028887,-0.28842352674199045
171,-0.9773295105525954,-0.2804645774220926
172,-0.5881607436572889,-0.2803970132709485
173,-0.5558380853938055,-0.31396828201101246
174,-0.6016277441949947,-0.32047645182424955
175,-0.5286350406164183,-0.3326702355509531
176,0.014739653834828326,-0.3298447398218674
177,0.48699064577057494,-0.2529586670053618
178,0.4813952979685212,-0.24271252758968084
179,-0.051773877696527575,-0.23583962498391145
180,-0.266181711209512,-0.22060094201330957
181,-0.526432957207906,-0.13881194234431699
182,-0.2656378511089577,-0.31961461850138767
183,0.3990199067911274,-0.16054282324760744
184,0.6878404270863959,-0.1269752573268133
185,0.15370161237065166,0.05915143672298056
186,-0.02069963840805241,0.06365779493588795
187,-0.3551172398134836,0.056436998897578354
188,-0.2748773974031792,0.05652453724463523
189,-0.00015404609479635473,-0.02506012168242957
190,-0.07896674534635906,-0.02550528460505541
191,0.6392063615994091,-0.03935850940320528
192,0.664152796458053,0.35075383838541085
193,0.6352586816292178,0.3267987182108505
194,0.3429794272471577,0.34707481117120564
195,0.3134036886962397,0.47460612408831854
196,0.03628574084494124,0.4899550214362541
197,-0.5526796674195912,0.5263057771073377
198,-0.05719451101844994,0.4661376141372899
199,0.41415388102014106,0.48319863228895044
200,-0.06512471308847821,0.44838996874907683
201,0.27330143662106826,0.4490273678577199
202,0.4956045743501482,0.4615701149174737
203,0.596067832324176,0.47784651611704615
204,0.24498558638411752,0.5697980361091529
205,0.20853133129351867,0.5121977091958997
206,0.294473787222004,0.5262634912105192
207,-0.18529053754999278,0.51574834604856
208,-0.3970355182337385,0.5171070291329839
209,-0.959517965653629,0.47667180016889044
210,-0.959517965653629,0.46814525947110897
211,-0.3977987511605538,0.3866793790396167
212,-0.13282298638415166,0.3802879599814996
213,0.1544566460590965,0.38395023739309425
214,-0.05308210135917858,0.09128885384765595
215,-0.9038173661176914,0.09814312109803337
216,-0.7562610512271473,0.0023727971547235424
217,-0.7455691533296992,-0.09374223575857017
218,-0.7455691533296992,-0.10458071213016287
219,-0.7664153832617763,-0.033234186362917306
220,-0.676663306985705,-0.08412896255713664
221,0.194429583227597,-0.10523937286988663
222,0.39652612571257334,-0.022596379882921593
223,-0.08937472145806588,-0.08290608104350884
224,-0.35034243874124454,-0.2145626548210927
225,-0.9052676665823621,-0.21288808063792297
226,-0.9762451498282236,-0.2496513684652742
227,-0.5455526302682443,-0.3149492077862958
228,-0.366514617238454,-0.428166666106308
229,-0.08597295764612552,-0.35142568041343736
230,0.09241397972119461,-0.35705235838096233
231,-0.1472300844474697,-0.28834672999759775
232,0.06558444448119585,-0.2803455959500847
233,-0.28621299420981955,-0.24938650150903183
234,-0.2132501597801511,-0.2816752155099855
235,-0.47448494922975787,-0.26243347643747034
236,-0.652105134713323,-0.27164152133065544
237,-0.6590756286329477,-0.5919864279063177
238,-0.37373307623504376,-0.466642280150186
239,0.24670656719033698,-0.3280116978068895
240,0.06280405621505238,-0.33386566992003563
241,-0.5161782817639547,-0.3480213100388488
242,0.005804104483267073,-0.3430101594944789
243,0.46154055666536165,-0.20661271580716462
244,0.4945756115435176,-0.2364088488791829
245,0.22031458532812173,-0.23283139233906422
246,0.20771578739884333,-0.21051356258418252
247,0.34733724574737274,-0.20824490917947622
248,-0.15339946268626492,-0.169245158956291
249,-0.45240107979094973,-0.20536115345205044
250,-0.6019116724818431,-0.16437440906456924
251,-0.35317251654803905,-0.18967738234918763
252,0.15935561273581983,-0.16519182121667647
253,-0.3839533843534145,-0.16065958361034463
254,-0.6792468272469216,-0.20915657257542122
255,-0.4359864700339155,-0.19915110719060705
256,-0.2629719594031365,-0.21083515764346492
257,0.19951320193521785,-0.16567295519617564
258,0.39026074316490694,-0.12427273015357851
259,-0.21035438195595005,0.1178584448005587
260,-0.5270432630807013,0.03835482628443725
261,-0.3613599558697632,0.004228575700146051
262,0.4301771823847487,0.002907490873473788
263,0.42855482333270384,0.0508319223769418
264,-0.15007356568336086,0.04721007795191966
265,-0.6553960090367075,-0.11274153238489577
266,-0.7526395330770962,-0.07868624376085603
267,-0.616050950467504,-0.09624828229553795
268,-0.57938869613326,-0.10746993848554229
269,-0.8502057435843414,-0.11772828416141146
270,-0.9198976371540587,-0.17903554112064912
271,-0.861354677673327,-0.15954562521800808
272,-0.861354677673327,-0.16358379718314825
273,-0.14278387876146093,-0.17322708104432114
274,0.0659134507950804,-0.1932785098945993
275,-0.0787745106055785,-0.17898188767395642
276,-0.44470268841969307,-0.10619894678778052
277,-0.894962623124142,-0.11806385028670925
278,-0.7586024328699092,-0.007282969490971304
279,-0.5148271754116839,-0.13932887048925297
280,-0.7378204095535695,-0.46175926781132137
281,-0.7637290570753075,-0.4867310547547407
282,-0.5238087099249982,-0.4882629874018283
283,-0.27292830445423655,-0.4606894770342161
284,-0.2937175470762042,-0.4968540078221375
285,-0.6141420804447355,-0.5365258014887576
286,-0.4113103908258402,-0.5588436390186229
287,0.014435266606330292,-0.5616727509892421
288,0.1992328762245676,-0.5244319024096521
289,0.1598626917692706,-0.3447963157878771
290,-0.27933630197123616,-0.3743838884844898
291,-0.584514799809595,-0.35131652814867476
292,-0.25743287680624277,-0.3102537321968283
293,-0.12882154452098313,-0.2448636724582314
294,-0.30472440841920445,-0.255231440792087
295,-0.5959939506979962,-0.27077994946448164
296,-0.2457799202178472,-0.291726506779465
297,0.23395051079441115,-0.2711156076964197
298,-0.1828343142331321,-0.26885821575253666
299,-0.6175426760758586,-0.2599584024386791
300,-0.5927581581974323,-0.29045062188901893
301,0.2058392098719777,-0.280398812184647
302,0.5807344147675385,-0.09757605367621111
303,0.1987408192105794,-0.021238968054908363
304,-0.22399333533248306,0.031879704856103114
305,-0.2119708044470759,-0.010563968279030195
306,0.2695244686790697,0.10163609992827365
307,-0.017868011049322414,0.15193257104395988
308,-0.2504106002412438,0.09300149396381999
309,0.23075881871069273,0.1499843452982116
310,0.07572435102776974,0.12851763372380687
311,-0.16131433113160257,0.01203514214185903
312,0.2960185121869842,0.1801958896485016
313,0.5414280113771216,0.2963142739952248
314,0.4086932081327319,0.2949236887577526
315,0.2838722035269065,0.3475621631383126
316,0.026750176745054983,0.377156520678306
317,0.026750176745054983,0.37600662811972674
318,-0.7996877293047784,0.2231958528894149
319,-0.27145694549140803,0.1852283242562338
320,0.21199997769260048,0.21295860138985068
321,-0.012930473642024057,0.21236122896756693
322,-0.4928686668308681,0.3153347303024555
323,-0.03977928318743262,0.30595835048834963
324,-0.3459208841951674,0.22836582169036881
325,-0.81913868225814,0.2412266109730111
326,-0.5972275519076261,-0.12456321503131534
327,-0.339414928009554,-0.15869259729369473
328,-0.24450914136433613,-0.2374981670108014
329,-0.07865045869434975,-0.2242896223731422
330,-0.5885470026870274,-0.11524801001189973
331,-0.5885470026870274,-0.13028165799237024
332,-0.5885470026870274,-0.17496802973713108
333,-0.707471240401723,-0.17906581510640776
334,-0.7213927462831217,-0.31902602074176173
335,-0.6755340445267449,-0.3849305237838781
336,-0.891074968002351,-0.39647074884500283
337,-0.6041688360674047,-0.4394500433485788
338,-0.44091195896544905,-0.44160571894123807
339,0.09569901536442356,-0.4231075658568973
340,0.1092794111989266,-0.3906124999312462
341,-0.15259485508073192,-0.4114066160280907
342,-0.08209629809430921,-0.4115586228100532
343,0.6444953248713898,-0.4254136802400166
344,0.5349313181491083,-0.38591044743865427
345,-0.12047851440021122,-0.43103319829355374
346,-0.13195058745236052,-0.39904646496438906
347,-0.2581550455913304,-0.4095983172675293
348,-0.16286807477872584,-0.29845492234100096
349,-0.08285299972183321,-0.30114742766987584
350,-0.18038456939526726,-0.23503452392185475
351,0.00867763277452115,-0.2354847205715328
352,0.054253318228328094,-0.1244015611479255
353,0.014780620006141087,-0.12687798573139958
354,0.06935460562961974,-0.10347378580712067
355,-0.7255913541661395,-0.13262615655224122
356,-0.4623884813848531,0.007965691778496568
357,-0.08788560832049826,0.07281324974599884
358,-0.3171335246199247,0.07265302186021191
359,-0.6061589991979444,0.08114689516708065
360,-0.36592959064811137,0.0659765905781379
361,0.08793916434054497,0.07721593284017396
362,-0.13867070316845942,-0.0192996796024536
363,-0.7193978128443063,-0.00626056292243518
364,-0.2673272035342496,-0.015327616290833677
