,LG30TRUU/VIX inst_corr,LG30TRUU/VIX hist_corr
167,-0.855528236035213,-0.7401894666898712
168,-0.855528236035213,-0.7393118383756615
169,-0.855528236035213,-0.7331674450655906
170,-0.6206756048525497,-0.7327898002565054
171,-0.7835735961513111,-0.7401288324375008
172,-0.7835735961513111,-0.7355878574924603
173,-0.8704652210507204,-0.7411939966849408
174,-0.6370231998198702,-0.7541751397469132
175,-0.6370231998198702,-0.7762716105268953
176,-0.6370231998198702,-0.788785310984243
177,-0.6370231998198702,-0.8210393089219572
178,-0.6370231998198702,-0.8218402113581538
179,-0.9211987032547567,-0.8184870914899197
180,-0.7875967375181769,-0.7032784321598688
181,-0.7875967375181769,-0.7849716723409715
182,-0.7875967375181769,-0.7776514782106729
183,-0.7875967375181769,-0.7200426844157123
184,-0.7875967375181769,-0.7309661297322374
185,-0.7875967375181769,-0.7115278746723378
186,-0.6750657658386041,-0.7140524681245309
187,-0.6750657658386041,-0.7562070552376984
188,-0.6750657658386041,-0.7725818615111929
189,-0.39680131664245666,-0.8049990511184553
190,-0.7415613175216166,-0.8574331863797089
191,-0.7415613175216166,-0.8355516147928779
192,-0.7415613175216166,-0.8558479434971832
193,-0.7415613175216166,-0.8409589738916103
194,-0.5998827757369337,-0.8291611125598609
195,-0.5585454359054508,-0.8306936318652749
196,-0.5585454359054508,-0.8520398752742381
197,-0.5585454359054508,-0.8494859055371187
198,-0.5585454359054508,-0.8606794596687567
199,-0.7554887175925138,-0.8682414374237457
200,-0.7554887175925138,-0.8733060234010633
201,-0.7554887175925138,-0.857355462446513
202,-0.7554887175925138,-0.8467603849872664
203,-0.7554887175925138,-0.8171942025372292
204,-0.7554887175925138,-0.8308158974704358
205,-0.7554887175925138,-0.82429970157151
206,-0.7554887175925138,-0.8254720909576365
207,-0.7554887175925138,-0.8315181578787607
208,-0.7554887175925138,-0.8281795557118177
209,-0.7554887175925138,-0.8136890967496468
210,-0.7554887175925138,-0.8177382723571225
211,-0.7554887175925138,-0.8220264788623588
212,-0.7554887175925138,-0.7652090756058617
213,-0.7554887175925138,-0.7749904665671631
214,-0.7554887175925138,-0.7707748911240461
215,-0.7554887175925138,-0.7745378188962375
216,-0.7554887175925138,-0.8069721651774591
217,-0.7554887175925138,-0.8372789347732952
218,-0.7554887175925138,-0.8049720699032414
219,-0.7554887175925138,-0.791580280443563
220,-0.7554887175925138,-0.7964450721603842
221,-0.7554887175925138,-0.7879643955324673
222,-0.7554887175925138,-0.7137290760211704
223,-0.7554887175925138,-0.751698736724441
224,-0.7554887175925138,-0.7139100895092504
225,-0.7554887175925138,-0.7362447425461536
226,-0.9539111547898348,-0.6579728463833581
227,-0.9539111547898348,-0.7430198979312954
228,-0.9539111547898348,-0.7403119691150448
229,-0.9539111547898348,-0.7197343455586389
230,-0.9539111547898348,-0.7249806713518845
231,-0.9539111547898348,-0.7231348310090234
232,-0.9539111547898348,-0.7100254797720065
233,-0.9539111547898348,-0.6904479571137171
234,-0.9539111547898348,-0.6818962166637472
235,-0.5705377816114592,-0.6584374416087714
236,-0.9527607030210451,-0.64810000438897
237,-0.9527607030210451,-0.6815684324047777
238,-0.9527607030210451,-0.6843368045173481
239,-0.9527607030210451,-0.7187700810833486
240,-0.9527607030210451,-0.7254379849383992
241,-0.9527607030210451,-0.7397149111138465
242,-0.9527607030210451,-0.7371150259868989
243,-0.9527607030210451,-0.7390507134150167
244,-0.9527607030210451,-0.7424719110226686
245,-0.9527607030210451,-0.750413494496875
246,-0.9527607030210451,-0.7763518125392598
247,-0.9527607030210451,-0.7781529522218983
248,-0.9527607030210451,-0.8302312856418431
249,-0.9527607030210451,-0.8054140878949467
250,-0.9527607030210451,-0.7619541150852704
251,-0.9527607030210451,-0.7481545454421448
252,-0.9527607030210451,-0.7526150223527827
253,-0.9527607030210451,-0.7561497004211475
254,-0.8469449574128293,-0.7657725294212931
255,-0.8469449574128293,-0.8188071759558156
256,-0.8469449574128293,-0.7856351697893421
257,-0.8469449574128293,-0.799587760732684
258,-0.8469449574128293,-0.7487849808458337
259,-0.8469449574128293,-0.7205678326956034
260,-0.8469449574128293,-0.735015322832718
261,-0.8469449574128293,-0.6625428522963315
262,-0.9341627841315392,-0.6805982892312012
263,-0.9341627841315392,-0.7387232704514698
264,-0.9341627841315392,-0.7361007722611859
265,-0.9341627841315392,-0.7322001415844669
266,-0.9341627841315392,-0.7443417928190627
267,-0.9341627841315392,-0.74818967247726
268,-0.9341627841315392,-0.7493273321457032
269,-0.9341627841315392,-0.7567914747442348
270,-0.9341627841315392,-0.7548497219724553
271,-0.9341627841315392,-0.7524757567221524
272,-0.9341627841315392,-0.7861786292360762
273,-0.9341627841315392,-0.7934927044953033
274,-0.9341627841315392,-0.7890875856878966
275,-0.9341627841315392,-0.7799152358985896
276,-0.9341627841315392,-0.7603163307024865
277,-0.9341627841315392,-0.7065270222319472
278,-0.9341627841315392,-0.8135597922018375
279,-0.9341627841315392,-0.7854516906046429
280,-0.9341627841315392,-0.8274487323026963
281,-0.9341627841315392,-0.8267706978531116
282,-0.9341627841315392,-0.8026370794580846
283,-0.9341627841315392,-0.8254998697669879
284,-0.9341627841315392,-0.8066292564156259
285,-0.9341627841315392,-0.7691295166960967
286,-0.9341627841315392,-0.7533584231760675
287,-0.9341627841315392,-0.7609527660727622
288,-0.9341627841315392,-0.7392331032130994
289,-0.9341627841315392,-0.7484505081013653
290,-0.9341627841315392,-0.753301962685192
291,-0.9341627841315392,-0.7738581064520419
292,-0.9341627841315392,-0.7842376337921563
293,-0.9341627841315392,-0.793338878418752
294,-0.9341627841315392,-0.7850576166003832
295,-0.9341627841315392,-0.7877007733451822
296,-0.9341627841315392,-0.7783347937496782
297,-0.9341627841315392,-0.7973057523040896
298,-0.9341627841315392,-0.8592361075629646
299,-0.9341627841315392,-0.8357008997944209
300,-0.9341627841315392,-0.8302189598132343
301,-0.9341627841315392,-0.8094487443308277
302,-0.9341627841315392,-0.7964880544565607
303,-0.9341627841315392,-0.739808054590337
304,-0.9341627841315392,-0.7306235409094881
305,-0.9341627841315392,-0.7299627080998872
306,-0.9341627841315392,-0.7369234590354355
307,-0.9341627841315392,-0.730817891036343
308,-0.9341627841315392,-0.7096568798741912
309,-0.9341627841315392,-0.6941662547022932
310,-0.9341627841315392,-0.6251192600033837
311,-0.9341627841315392,-0.6140782726836269
312,-0.9341627841315392,-0.5747926827274982
313,-0.9341627841315392,-0.5858659480401126
314,-0.9341627841315392,-0.5530022536334877
315,-0.9341627841315392,-0.4814170565783665
316,-0.9341627841315392,-0.44298342094840854
317,-0.9341627841315392,-0.44791894391918774
318,-0.9341627841315392,-0.45912405589010125
319,-0.9341627841315392,-0.45407015648666055
320,-0.9341627841315392,-0.41164975083784444
321,-0.9341627841315392,-0.44650876527447453
322,-0.9341627841315392,-0.4497888787869212
323,-0.9341627841315392,-0.4412977123354635
324,-0.9341627841315392,-0.41440978445763854
325,-0.9341627841315392,-0.4532091774115323
326,-0.9341627841315392,-0.6858764270557997
327,-0.9341627841315392,-0.6816360459205753
328,-0.9341627841315392,-0.6841540195856115
329,-0.707696348056072,-0.6879087089828357
330,-0.5002067537583056,-0.8626272316051041
331,-0.7203378183308833,-0.7097895160572175
332,-0.7203378183308833,-0.7418895021010229
333,-0.8031198535323012,-0.7249394282072721
334,-0.8597089737539799,-0.7782410150721185
335,-0.8597089737539799,-0.7827621845780797
336,-0.8597089737539799,-0.7839021911429622
337,-0.6616867311464488,-0.7875157479504195
338,-0.6616867311464488,-0.7693979598996303
339,-0.6413276176747361,-0.7665984388021166
340,-0.8604206582730555,-0.7936162436979245
341,-0.8604206582730555,-0.7973952431871645
342,-0.8604206582730555,-0.7924443090664356
343,-0.8604206582730555,-0.7824038023720492
344,-0.8604206582730555,-0.7844666739659474
345,-0.9280746796259983,-0.7927029039938807
346,-0.9280746796259983,-0.8021935092271676
347,-0.9280746796259983,-0.7996806510955629
348,-0.9280746796259983,-0.786847005593209
349,-0.8428496758387208,-0.786262324450815
350,-0.8391865037807731,-0.815839895725406
351,-0.8391865037807731,-0.8126628123412889
352,-0.8391865037807731,-0.8499367837070954
353,-0.8355511394039324,-0.86934218632934
354,-0.9298887972192176,-0.8569123819786121
355,-0.9298887972192176,-0.8628762835421218
356,-0.9298887972192176,-0.8305301877183521
357,-0.9298887972192176,-0.8350034016983322
358,-0.9298887972192176,-0.8550998407722604
359,-0.9298887972192176,-0.8635681010211738
360,-0.9298887972192176,-0.854417049408547
361,-0.9298887972192176,-0.8418359295757832
362,-0.9298887972192176,-0.7914860269080287
363,-0.8124968484912782,-0.7825785176617299
364,-0.8124968484912782,-0.7557826478896403
