,VIX/UKX inst_corr,VIX/UKX hist_corr
171,-0.42231289426989627,-0.278362759146875
172,-0.7395636718070155,-0.2722437715679129
173,-0.26224685726657404,-0.26788226134641574
174,-0.249511143315185,-0.270228030216806
175,-0.5843578234432775,-0.278071552317245
176,-0.603311667474651,-0.27185740900552224
177,-0.38778952937787986,-0.2667745449110525
178,-0.18460681897801506,-0.297366086462427
179,0.1830888858084492,-0.24132531899954793
180,-0.3327378225079698,-0.2597834667530018
181,-0.3327378225079698,-0.2641366104789919
182,-0.7370855376728969,-0.2529804232887102
183,-0.7720983466542883,-0.05722908451536655
184,-0.7720983466542883,-0.3440224247447458
185,-0.9435055103186726,-0.34045990515458574
186,-0.8091480617952439,-0.22095513594158228
187,-0.8091480617952439,-0.3350731976572639
188,-0.5397207140816863,-0.2729388065801602
189,-0.48175920596304617,-0.27914125763744824
190,-0.48175920596304617,-0.38038009773703396
191,-0.48175920596304617,-0.38916833025275765
192,-0.3132436786330837,-0.42062168342428935
193,-0.9410322895131736,-0.5031934586390111
194,-0.9410322895131736,-0.503886892335994
195,-0.04975779957360579,-0.45870530536692683
196,0.4973873452482417,-0.3461539223440629
197,-0.1355148731514942,-0.32253606869806867
198,-0.589684976095557,-0.3531061544071266
199,-0.7734844567192243,-0.3445278879491306
200,-0.42212148989340276,-0.3151708838570846
201,-0.5686356057512754,-0.4690494375059545
202,-0.5686356057512754,-0.46281701828141136
203,-0.9110353317944971,-0.4595356629248659
204,-0.9110353317944971,-0.47552781554541973
205,-0.9110353317944971,-0.46003034268714166
206,-0.7247965285079548,-0.4491789830757929
207,-0.4482228895325042,-0.4457213534979005
208,-0.22130139984439778,-0.4008990417613199
209,-0.10067728995178274,-0.4071950000850277
210,-0.13673956854488886,-0.37432968202942174
211,-0.6426115217233201,-0.3699285970444443
212,-0.47695487016148025,-0.21188142283442246
213,-0.548050129286452,-0.21433229983234026
214,-0.17896982912644513,-0.2084699163114948
215,-0.5341901938594142,0.06441971543483926
216,-0.792483044951773,0.09741494633290952
217,-0.792483044951773,-0.03714746031832053
218,-0.792483044951773,-0.16281462039863004
219,-0.792483044951773,-0.1739153441283824
220,-0.9399675836599717,-0.20626568935653913
221,-0.7866147823059799,-0.16447455866345218
222,-0.7866147823059799,-0.20858093105078535
223,-0.741053425122965,-0.1400186915743683
224,-0.741053425122965,-0.1595517104204188
225,-0.741053425122965,-0.1503923817098926
226,-0.741053425122965,-0.11215076954584673
227,-0.741053425122965,-0.1352483652293983
228,-0.5128193086649071,-0.17616041077626768
229,-0.5680548145722748,-0.17156030137844916
230,-0.5680548145722748,-0.2687519820651538
231,-0.5680548145722748,-0.27419023026563566
232,-0.5680548145722748,-0.3558709861643375
233,-0.5011482700332192,-0.35215662588946306
234,-0.13409094705885502,-0.24541459265251178
235,-0.20905801794321013,-0.2344907691575898
236,-0.3562682036244822,-0.28038813702030085
237,-0.912138175804405,-0.520023421636078
238,-0.912138175804405,-0.5323959540731692
239,-0.912138175804405,-0.5237000339275548
240,-0.7996822732199311,-0.5149568507352934
241,-0.9985632922256542,-0.5228096718428803
242,-0.8237013855558716,-0.5031762374510074
243,-0.8237013855558716,-0.5136531458375485
244,-0.8237013855558716,-0.499242313773925
245,-0.8237013855558716,-0.4990900702113394
246,-0.8237013855558716,-0.4321674731015805
247,-0.8237013855558716,-0.429109402733615
248,-0.7199534636848066,-0.4179770671383459
249,-0.7237225647059695,-0.4402676132900736
250,-0.61129604103878,-0.41414477776435527
251,-0.40627564101836455,-0.4092648836466722
252,-0.814628486687114,-0.42922970535147253
253,-0.6242761985585141,-0.43729712452922326
254,-0.631586787660642,-0.4867287043539987
255,-0.6031151751225811,-0.504073188446659
256,-0.9671585080454114,-0.6825033439116456
257,-0.9671585080454114,-0.7084548328496575
258,0.33300220323269664,-0.6079199674344747
259,0.26055601561170444,-0.5486642795375144
260,-0.3943168815249249,-0.5284008020067616
261,-0.18880874211570253,-0.4834594232734071
262,-0.33275931494346733,-0.46438395889359635
263,-0.6806768192161424,-0.4498894033756724
264,-0.5195714138523894,-0.46636458518226365
265,-0.5195714138523894,-0.4764400405270602
266,-0.5195714138523894,-0.47691494089592956
267,-0.9602318519370341,-0.5038257345404934
268,-0.9602318519370341,-0.5369163616536946
269,-0.9602318519370341,-0.5404209337904988
270,-0.9602318519370341,-0.5557378818642755
271,-0.9602318519370341,-0.5467210588801221
272,-0.9602318519370341,-0.5957720278573952
273,-0.9602318519370341,-0.5863677475528636
274,-0.9602318519370341,-0.5811016470817955
275,-0.9602318519370341,-0.5721622460715404
276,-0.9602318519370341,-0.5337820333443428
277,-0.9602318519370341,-0.5111770749969146
278,-0.634210342961137,-0.1574398021642535
279,-0.2713552305776435,-0.08564624925975803
280,-0.46434744170352066,-0.2971105823911612
281,-0.6487138955302323,-0.358385406195779
282,-0.5718843087316464,-0.37207403924637816
283,-0.10751541672908141,-0.31748332401015605
284,-0.5342056794317704,-0.37969606505643566
285,-0.5342056794317704,-0.3826635074503915
286,-0.5342056794317704,-0.4028458541092823
287,-0.5342056794317704,-0.3641901750222297
288,-0.5342056794317704,-0.3816818172959267
289,-0.7551886338863114,-0.4087868584337352
290,-0.5637097257169599,-0.3761869851471508
291,-0.2976050071713675,-0.29981713621078004
292,-0.8598460208467118,-0.3612678625623584
293,-0.8598460208467118,-0.3911297708431616
294,-0.8598460208467118,-0.39723797691382584
295,-0.8598460208467118,-0.4148597722124342
296,-0.8598460208467118,-0.41930674351583624
297,-0.8598460208467118,-0.42759499972045323
298,-0.8598460208467118,-0.42886049033295487
299,-0.8598460208467118,-0.446225107510401
300,-0.6803673949125618,-0.4136655248494055
301,-0.6018289393254171,-0.4453438354558272
302,-0.43577021117373305,-0.4937702099292963
303,-0.0455694446514307,-0.3842020594715281
304,-0.48482300595642414,-0.36391457461160714
305,-0.8357563923983815,-0.48880519449998455
306,-0.8357563923983815,-0.4795859867713552
307,-0.8357563923983815,-0.4715445088978284
308,-0.8357563923983815,-0.4625821165981684
309,-0.9572749624572362,-0.4772088949960309
310,-0.5799697800802763,-0.46596783177305046
311,-0.42401035263035575,-0.3778942140382184
312,-0.49844169173384406,-0.4063670122469116
313,-0.49844169173384406,-0.3864740535619766
314,-0.9142912961517151,-0.26315766702483223
315,-0.8100416061025748,-0.22925060639784656
316,-0.45562733564884933,-0.20355479206715688
317,-0.8947320127028948,-0.1777097604459139
318,-0.8947320127028948,-0.18633269959243887
319,-0.8947320127028948,-0.1560998657939708
320,-0.8947320127028948,-0.14890255171436032
321,-0.8947320127028948,-0.16153126709267718
322,-0.8947320127028948,-0.18178724577898792
323,-0.8947320127028948,-0.20175123918728635
324,-0.8947320127028948,-0.13604920975859713
325,-0.8947320127028948,-0.25537977959453056
326,-0.7642223831597876,-0.4641767283662206
327,-0.4356136099339221,-0.4468776348189656
328,-0.6864815209920235,-0.4536978284427247
329,-0.5157323425981285,-0.45151669301882535
330,-0.4502054643805047,-0.5517946367506491
331,-0.6418877583999533,-0.5502316432959923
332,-0.6418877583999533,-0.5108277044611006
333,-0.6577148662740633,-0.5313469325828213
334,-0.735788214346928,-0.5376335432940427
335,-0.9027722075019602,-0.558033024384049
336,-0.8408127310642871,-0.5565942435870901
337,-0.8408127310642871,-0.5448520529661296
338,-0.8408127310642871,-0.5475432239905654
339,-0.251712277421258,-0.5879315275990153
340,-0.35999901415876606,-0.5138325948271912
341,-0.7554957467579259,-0.5405705094876757
342,-0.7554957467579259,-0.5266817974570353
343,-0.4717852868222964,-0.47150563124603156
344,-0.6484682271770433,-0.48830348718463235
345,-0.6191391721326809,-0.5245988246096833
346,-0.5872918598194544,-0.5161584208433363
347,-0.5872918598194544,-0.5078643682357625
348,-0.5872918598194544,-0.4623885951150135
349,-0.6842947053349719,-0.45519374906622617
350,-0.7804104979038773,-0.5118675044103203
351,-0.7804104979038773,-0.5064445737901961
352,-0.7804104979038773,-0.41738785155263475
353,-0.8201334067795848,-0.418064368559838
354,-0.8201334067795848,-0.4649448984898632
355,-0.8201334067795848,-0.477147505933817
356,-0.9810526696835924,-0.4643147749185207
357,-0.2812638780142725,-0.423389987427773
358,-0.5313455303274957,-0.4093865109965468
359,-0.9203296650850367,-0.4445067312610603
360,-0.9391761199467229,-0.47806408507879494
361,-0.8588640187790214,-0.4598720760585924
362,-0.8995256706199134,-0.5853526141790322
363,-0.8995256706199134,-0.5837111126589319
364,-0.8995256706199134,-0.5942695826861109
