,VIX/0050.TW inst_corr,VIX/0050.TW hist_corr
185,-0.8224441676923011,-0.17928558555135876
186,-0.7989300077099858,-0.16513331993282487
187,-0.5077536085189186,-0.06876124370107795
188,-0.8890399290322837,-0.05780012341143712
189,-0.889784117641612,-0.08383592162516476
190,-0.6498848079008263,-0.21221098647730535
191,-0.2138799597177309,-0.1414119440785832
192,-0.11290478244369298,-0.10115063412761943
193,-0.11290478244369298,-0.34699192713762317
194,-0.11290478244369298,-0.32140865320738427
195,-0.40350961732971974,-0.29600200183789527
196,-0.6645529585914158,-0.377043070218052
197,-0.1692237648973534,-0.3221601024686372
198,0.5657919501264709,-0.168605268757813
199,0.6790761642116151,-0.06057480074126805
200,-0.2952524682411525,-0.02562058714780347
201,-0.2952524682411525,-0.11509914319886594
202,-0.2952524682411525,-0.12603311093054517
203,-0.9402995725583515,-0.12328547051028006
204,-0.9402995725583515,-0.1750041812349509
205,-0.41749314485766986,-0.16062412758933223
206,-0.009623526485203827,-0.12320140779814906
207,0.01413910335079625,-0.07840348710117478
208,0.01413910335079625,-0.0800299840209631
209,0.01413910335079625,-0.11674856381486476
210,-0.20413006952852258,-0.1353919528485484
211,0.18591284950226117,-0.08976931829508925
212,-0.6572706857262903,-0.07687659585622805
213,-0.6572706857262903,-0.11080428279921682
214,-0.6572706857262903,-0.14730294194888144
215,-0.6572706857262903,-0.009240572114012914
216,-0.6572706857262903,-0.03625906182597167
217,-0.6572706857262903,-0.042400239869511115
218,-0.6572706857262903,0.02090533066812259
219,-0.6572706857262903,0.06906709753965745
220,-0.6572706857262903,-0.07935595513397342
221,-0.6572706857262903,-0.2112427584347353
222,-0.6572706857262903,-0.27084864357785976
223,-0.6401676604451854,-0.17667248917740572
224,-0.5252386945738046,-0.14530521125206622
225,-0.17476821177086707,-0.1388759734124801
226,-0.07098701618890517,-0.09449838412101604
227,-0.32998581448117636,-0.07494875606776132
228,-0.08619990050476932,-0.06070621190965831
229,0.09660066077630844,-0.0009509990404397169
230,0.00018213592999907107,-0.07043496415267468
231,-0.1889513481975002,0.04386339310625603
232,-0.699582955832137,0.020525485984212406
233,-0.0614920445726479,-0.05899731516067686
234,0.39412288485875935,0.10203512532806239
235,-0.19249218992062647,0.31304986943780994
236,-0.19249218992062647,-0.05451633748747121
237,-0.19249218992062647,-0.03170189282303082
238,-0.19249218992062647,-0.02481323794123047
239,-0.19249218992062647,-0.03146489173760755
240,-0.19249218992062647,-0.03684316823418428
241,-0.9030525955740015,-0.04248377007971223
242,-0.3963029007058021,-0.02778288997373917
243,-0.3963029007058021,-0.0014992451907978098
244,-0.3963029007058021,-3.5974897860311603e-05
245,-0.8500255347778302,0.007317596612631183
246,-0.8500255347778302,0.007449563007355777
247,-0.8500255347778302,0.016354143044536466
248,-0.8500255347778302,-0.03229286893804128
249,-0.6876095582260794,-0.03227638322614364
250,0.004822790833875,-0.022174762400592934
251,0.27061643121158074,-0.02032180589778312
252,-0.3988611808664032,0.05738511402338523
253,-0.3988611808664032,-0.0023580837930036415
254,-0.3988611808664032,-0.022968695818119684
255,-0.7562244948619671,0.001296995352654513
256,-0.7562244948619671,-0.21892071296171875
257,-0.7562244948619671,-0.2811958495050044
258,-0.7562244948619671,0.09379214860136187
259,-0.7562244948619671,0.0943852110454388
260,-0.7562244948619671,-0.003685646304236822
261,-0.7562244948619671,0.022248153029374978
262,-0.9138644567093527,0.07249188037068831
263,-0.9138644567093527,0.06630167275818946
264,-0.9138644567093527,-0.015303348076158437
265,-0.9138644567093527,-0.021014166870129157
266,-0.9138644567093527,-0.01061059813676918
267,-0.9138644567093527,-0.03428972831706588
268,-0.9084459734314398,-0.04341015920891855
269,-0.36474754328125375,-0.21034945072190203
270,0.054513323856966445,-0.07258274570193911
271,-0.5421646452959967,-0.08875119894741418
272,-0.43683830916773664,-0.05738539852137565
273,-0.5823209063513634,-0.18350638324776142
274,-0.2920710515667337,-0.20474388400854343
275,0.1611453015079788,-0.07554884863897163
276,-0.490445648404407,-0.061568211032112456
277,-0.7885812965737762,-0.11927631510738426
278,-0.6338639895073989,-0.18864914691368487
279,-0.6338639895073989,-0.24446298533612687
280,-0.6338639895073989,-0.22150312921191423
281,-0.6338639895073989,-0.20026073710716444
282,-0.6338639895073989,-0.16988094562445463
283,-0.6338639895073989,-0.17332334794821103
284,-0.6338639895073989,-0.18661170421055484
285,-0.6338639895073989,-0.19038604488683578
286,-0.6338639895073989,-0.17451862571706683
287,-0.6338639895073989,-0.1872105035211712
288,-0.5855049620390629,-0.17171380928557126
289,-0.1887400489451344,-0.1967082390881163
290,-0.014177232266628762,-0.11839870476302027
291,-0.9778748490688829,-0.05563622060223386
292,-0.5780872649291036,-0.13787053250994236
293,-0.27414340755726624,-0.10552737216333324
294,-0.27414340755726624,-0.14560917567973655
295,-0.7491495063830365,-0.12136712643690209
296,-0.7491495063830365,-0.18259938567168743
297,-0.7491495063830365,-0.28974583748738086
298,-0.7491495063830365,-0.3001824929580112
299,-0.7491495063830365,-0.2773387353285531
300,-0.7491495063830365,-0.17040335230369283
301,-0.7491495063830365,-0.054348512800180694
302,-0.646146333335396,-0.05841867876120891
303,-0.6681882559269513,-0.6734922901657352
304,-0.42966018544635765,-0.5000365554414965
305,-0.503057799340904,-0.473211616630045
306,-0.8275475892936959,-0.5278349423194006
307,-0.6346026345548446,-0.5311557038968823
308,-0.869536777273926,-0.5256946980126636
309,-0.869536777273926,-0.5274201541973812
310,-0.8159252846786014,-0.5496236750528523
311,-0.5233969493061554,-0.5557712354796264
312,-0.5233969493061554,-0.6046730523431503
313,-0.5233969493061554,-0.5945923450215663
314,-0.5233969493061554,-0.6265426975456974
315,-0.5233969493061554,-0.6626203812350018
316,-0.8824574631124043,-0.6662631348149413
317,-0.8824574631124043,-0.6710415098893326
318,-0.6967974851911364,-0.6527396584254038
319,-0.7230167175671579,-0.5789848651100291
320,-0.36872552372736384,-0.5570272128308171
321,-0.1947960016380865,-0.5401615380429835
322,-0.2609742864947461,-0.5207194773648954
323,0.19378996305153115,-0.4349608238059651
324,0.29962274984255144,-0.400838418522555
325,-0.20939713062695578,-0.291694818506072
326,0.06114323365484039,-0.26271301913688505
327,-0.2149402266421661,-0.2862708657655183
328,-0.624195362638295,-0.33886232305200514
329,-0.873582771917581,-0.35125877005346434
330,-0.4699502731947779,-0.35002949738821554
331,-0.48953285558819243,-0.48177556901839713
332,-0.3242204030448313,-0.37207609784759266
333,-0.5348145071164935,-0.47452440583813776
334,-0.4319471336768259,-0.35537507584980876
335,-0.27065950063952154,-0.3220236958252019
336,-0.4774601075775918,-0.16872521869465315
337,-0.6001024121884836,-0.24751121396420728
338,0.0755818288162244,-0.17981523021088486
339,0.0905933536851632,-0.19442534456175714
340,0.16095153066875603,-0.19540309017892002
341,0.0336800689153444,-0.20458144339951492
342,-0.3114739574800641,-0.21148068727736336
343,-0.07289852914623926,-0.20457376324156917
344,-0.33132701740473797,-0.22462417085948302
345,-0.33132701740473797,-0.2429598610108245
346,-0.6331530773018169,-0.29259853201305397
347,-0.14979390918973942,-0.27384525049584013
348,-0.5290501385582584,-0.3284044242888755
349,-0.6159453481920631,-0.32311639020218763
350,-0.6543121584057212,-0.2865544279596982
351,-0.7133982494634784,-0.29595879995303515
352,-0.6371495467909232,-0.2821627241083508
353,-0.45574521689243724,-0.18556746328327886
354,-0.6852825843953527,-0.25931178963060364
355,-0.37272529227377815,-0.02862135343445758
356,-0.38355544673154757,-0.10900003316103163
357,-0.8729398453977816,-0.08656769793769084
358,-0.8729398453977816,-0.15189974865221478
359,-0.29493936330628995,-0.0476959245670003
360,-0.5195858601697548,-0.14611049704422527
361,-0.9668619082140821,-0.22454203766293188
362,-0.44672204820123224,-0.35024822519712123
363,0.047049167204608146,-0.24435243396197576
364,-0.393241642521279,-0.2737854235826374
365,-0.674266445908556,-0.3481904932322658
