,VIX/TWSE inst_corr,VIX/TWSE hist_corr
177,-0.9787724949312143,-0.10975649441176384
178,-0.7008424270699185,-0.15596998332732168
179,-0.7008424270699185,-0.1596947132473092
180,-0.5665892973078311,-0.1620567681906179
181,-0.14000551643873857,-0.1521362242116271
182,0.18873109681664674,-0.12864175724407895
183,-0.16766905341797841,-0.12440496839445339
184,-0.4785539940656804,-0.1302506028965674
185,-0.5740163443284167,-0.12812825640557882
186,-0.5685005874385772,-0.1383090601710084
187,-0.20591894916599815,-0.17600244722503952
188,0.16943034831435708,-0.149901890558569
189,-0.37427183556034244,-0.1421799055695536
190,-0.37427183556034244,-0.1439738303910935
191,-0.880604017939036,-0.13820205967392252
192,-0.5615315375176618,0.09724799592879223
193,-0.12263365306390978,-0.26366357481243086
194,-0.14036272628921195,-0.23725251635323202
195,-0.26910459505404666,-0.21691232889891077
196,-0.07009262242109149,-0.3465229807637964
197,-0.4415052963644357,-0.3579163498680736
198,-0.47845848414035214,-0.11504056255135255
199,0.2680855068960601,-0.09007555349299706
200,-0.08622462793582525,-0.0072507313053212855
201,-0.13315690887957207,0.020129534191766028
202,0.36377522701231757,0.06887848870742137
203,0.4202701656818331,0.14222696376206828
204,-0.20764987600014018,0.09116487729087676
205,-0.20764987600014018,0.06616402201875213
206,-0.5741393994739025,0.0856662287411519
207,-0.5266644530334172,0.08962620893173631
208,-0.782931479570517,0.12115427430173542
209,-0.19106349687359178,0.15779541927130886
210,0.35015941124391836,0.16760166889658804
211,0.24988048976224134,0.15763928260748006
212,-0.41826827593824356,0.1841306722091693
213,-0.7138866136308669,0.10519845265041113
214,-0.47296093290734187,0.1217700789994115
215,-0.47296093290734187,0.03631271416323047
216,-0.47296093290734187,0.03318977450271201
217,-0.23257331315549082,0.05844256486377379
218,-0.2670571360583081,0.01805581560956166
219,-0.30020586798972204,0.15312678909298605
220,-0.697626274751528,0.19121532145517897
221,-0.7542713669360654,0.0971725792758985
222,-0.8639083092521412,0.11193783663579605
223,-0.7121188279547943,0.12178343265846671
224,-0.5916890925208744,0.06427598305841242
225,-0.6581240469659,-0.0057086193255905205
226,-0.7783737616642795,-0.04578818938897907
227,-0.8719027951120754,-0.05392610987656901
228,-0.6866669106372667,-0.014658315667811714
229,-0.6866669106372667,-0.11911560401501685
230,-0.6866669106372667,-0.12792712629703226
231,-0.6866669106372667,-0.13621518250216946
232,-0.9497762454420643,-0.2548272310525478
233,-0.9497762454420643,-0.2763541698120293
234,-0.9497762454420643,-0.3319136804018635
235,-0.44602270994784043,-0.21264269856885903
236,-0.5952750511501471,-0.2357974530917739
237,-0.28033099142002293,-0.07903133721906687
238,0.25694129907374336,-0.04394060726015454
239,0.6869920413331079,0.05932250080016114
240,-0.2508666750116733,0.09251889232211863
241,-0.5691675537094286,-0.001259267944318091
242,-0.9414555117041853,-0.04382156550089649
243,-0.9983802776986261,-0.03594630238645359
244,-0.9983802776986261,-0.07015383395519731
245,-0.9983802776986261,-0.06600670292291827
246,-0.9983802776986261,-0.07731245500607054
247,-0.9983802776986261,-0.08864001303358623
248,-0.9983802776986261,-0.08630361927941135
249,-0.011616276722736777,-0.055491253963833816
250,0.3038519940485072,0.011358740340820649
251,-0.524387597977228,0.09230104973772935
252,-0.524387597977228,-0.050213985534971896
253,-0.9968220046922327,-0.0554517540120223
254,-0.1913070798127862,-0.04463638101586117
255,-0.3421395358872483,-0.003101358833615364
256,-0.8119972653803698,-0.13531670008667016
257,-0.9280913107434392,-0.12904122428346995
258,-0.7598472625620996,-0.13990464374450318
259,-0.6904107465881998,-0.12779295243007055
260,-0.7612635665073716,-0.23100759509801252
261,-0.792256003495034,-0.3535508465785036
262,-0.4228482376873217,-0.3756579254960827
263,-0.18558765891184123,-0.26829393161345677
264,-0.26487538730910476,-0.2275469800750229
265,-0.7139292299525333,-0.2571201922546823
266,-0.7139292299525333,-0.22072004712474566
267,-0.7139292299525333,-0.2637934017066015
268,-0.9082138034688048,-0.3011045977459397
269,-0.9082138034688048,-0.3110633375431198
270,-0.9082138034688048,-0.31774575797367366
271,-0.5429756163467369,-0.3220521954521321
272,-0.6412264005972095,-0.3959152120432959
273,-0.8672833642731881,-0.39236151605153347
274,-0.8672833642731881,-0.3046878172417499
275,-0.8672833642731881,-0.30164196624047873
276,-0.8672833642731881,-0.3377822958934436
277,-0.8672833642731881,-0.36088840161016567
278,-0.7098334557659659,-0.1991957943671183
279,-0.3784025150122958,-0.19558697081084306
280,-0.7072000571909137,-0.18683736207270868
281,-0.9813673671576411,-0.2237839867662641
282,-0.0021352722899680783,-0.1698020202529766
283,0.30720192724680334,-0.035249555783348166
284,-0.5073355831273761,-0.0238475865091196
285,-0.5073355831273761,-0.11552712893254133
286,-0.785575619597513,-0.1362454596925507
287,-0.785575619597513,-0.08350434209543592
288,-0.785575619597513,-0.11597986423774112
289,-0.3776739502458254,-0.12259113887304111
290,-0.7843004449699916,-0.29604700503071774
291,-0.7843004449699916,-0.320337813567847
292,-0.7843004449699916,-0.3615696167665637
293,-0.7843004449699916,-0.35331188622814397
294,-0.7843004449699916,-0.35849593305053334
295,-0.6095523855485238,-0.3655163936551775
296,-0.4150888552401695,-0.3402567268608798
297,-0.9736586073918264,-0.3413166452415709
298,-0.9736586073918264,-0.3257804130972335
299,-0.4465405985562853,-0.3112582769852813
300,-0.3133544562830276,-0.28803709373254643
301,-0.5488523108193708,-0.3084640508953951
302,-0.7904731765973875,-0.29511404138579933
303,-0.7596065795368329,-0.28505309848955623
304,-0.6243266871441391,-0.2783056144379365
305,-0.6243266871441391,-0.4331627968181107
306,-0.6243266871441391,-0.4177157626087285
307,-0.8104679607634822,-0.43082191295418215
308,-0.5540592214131569,-0.4442051581111527
309,-0.2731933692335959,-0.35551545527704764
310,-0.8368575435394552,-0.36419907620800374
311,-0.8368575435394552,-0.3687290648201221
312,-0.48916889588775647,-0.15492267382446695
313,-0.6183609039259609,-0.0933853619288641
314,-0.7305972568694297,-0.022094626119843832
315,-0.3165779447334839,-0.001147800355810253
316,-0.877587734003675,-0.09058318741504189
317,-0.9163193476317261,-0.09283326021718138
318,-0.8564533594809187,-0.13269470437845882
319,-0.8564533594809187,-0.12987713916377908
320,-0.8564533594809187,-0.14179291422840706
321,-0.8564533594809187,-0.1909080714393212
322,-0.8564533594809187,-0.19894073689653582
323,-0.8564533594809187,-0.23795372357186104
324,-0.8564533594809187,-0.2174582855217225
325,-0.7003826558319116,-0.21805027477210223
326,-0.615302633968675,-0.4083173286587802
327,-0.2969382765025054,-0.4118300990377696
328,-0.6221861245380166,-0.42494912989506023
329,-0.5224122691997722,-0.40979748505852454
330,-0.8339428093359602,-0.823210944936986
331,-0.8339428093359602,-0.8658875089521562
332,-0.7338978219902522,-0.852403286061501
333,-0.5493593656107936,-0.8412612058317777
334,-0.6229082045538359,-0.8433039530664462
335,-0.3226699298592934,-0.8277328547601565
336,-0.7149895235885253,-0.8411194170255025
337,-0.8307179222324657,-0.8547697339357463
338,-0.2963008779772182,-0.8416542187511
339,0.0014287345996644527,-0.7955597333154965
340,-0.00660854847679685,-0.7416765915588838
341,-0.00660854847679685,-0.7507948285619601
342,-0.00660854847679685,-0.7501565040526292
343,-0.00660854847679685,-0.7492554168536022
344,-0.6459299513775266,-0.751624439688668
345,-0.5613418117783346,-0.7544412804811327
346,-0.9656205953154768,-0.7559844219298236
347,-0.949934356594043,-0.7601621026463312
348,-0.7864089947518357,-0.7645098551006637
349,-0.8185400511358046,-0.7650039888602809
350,-0.9960542751034831,-0.7604560662336383
351,-0.4552288186244871,-0.7625600835706215
352,-0.1689363390505557,-0.43616482323372285
353,-0.4091890725360257,-0.3361832720076115
354,-0.4091890725360257,-0.33766137898081866
355,-0.9477946923017424,-0.3020184295975864
356,-0.12548211126383302,-0.28107748130315213
357,-0.1813886612383822,-0.2542048858000619
358,-0.8576442225712215,-0.2872381163208947
359,-0.8576442225712215,-0.2820100028698663
360,-0.8576442225712215,-0.264900448870356
361,-0.8576442225712215,-0.33581887400169713
362,-0.8866789888294948,-0.45367292179364427
363,-0.8866789888294948,-0.4512742999445611
364,-0.8866789888294948,-0.45130887626231636
