,CAC/VIX inst_corr,CAC/VIX hist_corr
170,-0.538223279837739,-0.375636629223515
171,-0.538223279837739,-0.36843576053343574
172,-0.9372932004284911,-0.36955336884541706
173,-0.8413138545258707,-0.37434428575534745
174,-0.8413138545258707,-0.3788119777077174
175,-0.6989847697833271,-0.3716450854474624
176,-0.5315665103266605,-0.36744658279056847
177,-0.04345472576058888,-0.3879849829665223
178,0.25525325687836686,-0.2889274302420695
179,-0.002326921505060346,-0.28874811472874556
180,-0.002326921505060346,-0.2912979390718072
181,-0.002326921505060346,-0.24510026160300494
182,-0.7274593409488451,-0.0840985942721482
183,-0.8095163001934553,-0.2957127118403457
184,-0.8095163001934553,-0.2739919705637557
185,-0.8095163001934553,-0.12009737031798122
186,-0.8095163001934553,-0.24294938044990808
187,-0.8095163001934553,-0.19426725239841636
188,-0.8095163001934553,-0.2025148451340812
189,-0.8909200306372631,-0.21060297028577843
190,-0.8909200306372631,-0.22705932379352672
191,-0.8918514237439806,-0.25132268085861476
192,-0.6278936229973731,-0.3996680865454218
193,-0.6632973594151523,-0.40881551315784437
194,-0.25320193423546045,-0.34349430168267253
195,0.1454941957509637,-0.2842727164139358
196,-0.9146494501126495,-0.2682945149861983
197,-0.8679281148081731,-0.3389773561656597
198,-0.8679281148081731,-0.3352224407146683
199,-0.6984266752880424,-0.28949266477439123
200,-0.605778882928768,-0.5384679186802405
201,-0.6422971451731834,-0.5396375034655544
202,-0.6422971451731834,-0.5407334677184777
203,-0.6422971451731834,-0.5500988405771701
204,-0.6422971451731834,-0.5188388478228313
205,-0.6422971451731834,-0.5296364838524906
206,-0.6422971451731834,-0.5327397832117859
207,-0.6422971451731834,-0.523626568519415
208,-0.9377915143113013,-0.5343771657721372
209,-0.9377915143113013,-0.5217999656744075
210,-0.9377915143113013,-0.5177089040076367
211,-0.9377915143113013,-0.43562080639921735
212,-0.9377915143113013,-0.4331403685147846
213,-0.7799910156780635,-0.4321096566117855
214,-0.93809208752717,-0.23612703246061076
215,-0.93809208752717,-0.17775241184936663
216,-0.93809208752717,-0.35615112510559627
217,-0.93809208752717,-0.40904770977345484
218,-0.93809208752717,-0.41171223281610314
219,-0.93809208752717,-0.3896846865615663
220,-0.93809208752717,-0.34844985728247874
221,-0.93809208752717,-0.37955280475177194
222,-0.93809208752717,-0.39862541983680255
223,-0.93809208752717,-0.2882692302499581
224,-0.93809208752717,-0.2817365530276889
225,-0.93809208752717,-0.22391021030013725
226,-0.93809208752717,-0.247259470582062
227,-0.8146984844726971,-0.15688727550254986
228,-0.6041387135503858,-0.1735108649482884
229,-0.8975505247546772,-0.16606615052380905
230,-0.8975505247546772,-0.09341791921650658
231,-0.8975505247546772,-0.12211919248189411
232,-0.937266493728428,-0.1295437810449304
233,-0.11575325657101808,-0.02445478952779029
234,-0.7477808007241857,-0.018094967071289457
235,-0.8553049720071674,-0.04726581767064349
236,-0.7372705314859139,-0.5239364699579797
237,-0.82360386076353,-0.43305461325199784
238,-0.82360386076353,-0.42539097094922973
239,-0.9138373010515829,-0.5485482302706132
240,-0.9138373010515829,-0.554325556794697
241,-0.9138373010515829,-0.5543415569514922
242,-0.9138373010515829,-0.5418055129430319
243,-0.9138373010515829,-0.5477320310891453
244,-0.9138373010515829,-0.5458748668441101
245,-0.9138373010515829,-0.5236026059373698
246,-0.9138373010515829,-0.5212028664608461
247,-0.9138373010515829,-0.5174229584268614
248,-0.9138373010515829,-0.5343631098680085
249,-0.9138373010515829,-0.5894830283498522
250,-0.9138373010515829,-0.5875482336777753
251,-0.8418669988474194,-0.6479864972348823
252,-0.678440420470703,-0.6383612278563761
253,-0.8328505029394303,-0.6637346629089403
254,-0.8423756993829327,-0.6671835174416112
255,-0.8160850794023887,-0.8031126109765363
256,-0.6881103440041566,-0.7949749460538983
257,0.27835191921431035,-0.6946550726270713
258,-2.7372493704237243e-05,-0.5538246189119743
259,-0.7462494005211028,-0.6015080580622335
260,-0.4470764575599148,-0.567590957232957
261,-0.7137905382989104,-0.4732908354796261
262,-0.7191420259822265,-0.5017757584509768
263,-0.689328531334113,-0.5008837692669043
264,-0.689328531334113,-0.5172758513012174
265,-0.689328531334113,-0.5121735750671287
266,-0.689328531334113,-0.5370752772503329
267,-0.689328531334113,-0.5667782720864762
268,-0.689328531334113,-0.5722269346778259
269,-0.689328531334113,-0.5803000156513629
270,-0.689328531334113,-0.5672821728912858
271,-0.689328531334113,-0.5678117323997978
272,-0.689328531334113,-0.5760188315050141
273,-0.689328531334113,-0.5509392709185453
274,-0.689328531334113,-0.5581418960697881
275,-0.689328531334113,-0.5049141976913781
276,-0.689328531334113,-0.48581214724593996
277,-0.8992731222657252,-0.19363402378678782
278,-0.575506593521042,-0.1726676307524097
279,-0.8487298704838018,-0.35219016159440153
280,-0.8487298704838018,-0.44710374850405676
281,-0.9256661185956564,-0.441758726333684
282,-0.2729685285823254,-0.3984473320556297
283,-0.9546787370451013,-0.45254156117256333
284,-0.9546787370451013,-0.41153645653155874
285,-0.9546787370451013,-0.4411559183894054
286,-0.9546787370451013,-0.4267877833033064
287,-0.9546787370451013,-0.4345930488761747
288,-0.7235869671099343,-0.5413492749763664
289,-0.571507322207319,-0.46492015947568077
290,-0.5266471504960444,-0.40305582639948956
291,-0.8698680998893186,-0.4702977633811174
292,-0.8698680998893186,-0.5020907094227461
293,-0.8983743175569324,-0.4981434747164367
294,-0.8832793407412359,-0.48091944717635404
295,-0.8832793407412359,-0.4602852932059949
296,-0.8832793407412359,-0.4734077158431881
297,-0.8832793407412359,-0.48175232027897197
298,-0.8832793407412359,-0.4874556323938166
299,-0.8832793407412359,-0.47057970978972347
300,-0.8832793407412359,-0.5252779195860211
301,-0.8832793407412359,-0.5189196026940072
302,-0.5177798730349651,-0.5225361969733727
303,-0.06288674817929678,-0.41547971355405877
304,-0.6473699631154001,-0.4775363216933205
305,-0.7888191374679818,-0.4869010761432833
306,-0.7888191374679818,-0.4857205473766183
307,-0.7888191374679818,-0.46574123771089515
308,-0.7888191374679818,-0.4850600432454073
309,-0.7888191374679818,-0.5045458364941703
310,-0.7258535015481791,-0.3813743451736687
311,-0.9215160821248646,-0.4161498678820131
312,-0.9215160821248646,-0.46864415102449236
313,-0.9215160821248646,-0.29090175225812276
314,-0.9215160821248646,-0.2392826950558648
315,-0.7648615369004985,-0.2948763313585121
316,-0.794294814479366,-0.26846717261109165
317,-0.794294814479366,-0.2922199684277277
318,-0.794294814479366,-0.3033209702363799
319,-0.794294814479366,-0.30173706867390493
320,-0.794294814479366,-0.2653639835382286
321,-0.9789634082515156,-0.3020020632324957
322,-0.9789634082515156,-0.2693936923705944
323,-0.9789634082515156,-0.26615994082240435
324,-0.9789634082515156,-0.2371817190177124
325,-0.9789634082515156,-0.3654168144811266
326,-0.8718659391999458,-0.5540418572419896
327,-0.5052429146435152,-0.5556545462391748
328,-0.9225900131597781,-0.565325378425517
329,-0.7126173521237429,-0.5604923473348803
330,-0.5962823881689621,-0.725374737188722
331,-0.6430888047285684,-0.702429771654729
332,-0.9842040212309259,-0.6560365817084611
333,-0.7909548542245176,-0.6614089530915275
334,-0.8751240452279498,-0.7112527014158554
335,-0.8396977349497151,-0.724509810621651
336,-0.6949917664100903,-0.7165305287472397
337,-0.5258708241783246,-0.696071693003836
338,-0.5258708241783246,-0.713123263574968
339,-0.29166104800490095,-0.705120423535113
340,-0.5603576601890796,-0.6586881853160385
341,-0.7037278444997628,-0.6463238311096474
342,-0.96278063746493,-0.6424761591785764
343,-0.96278063746493,-0.6250336977131216
344,-0.96278063746493,-0.6388124500401239
345,-0.6251762483348908,-0.6460778536400578
346,-0.47539021899841666,-0.6438472447016478
347,-0.47539021899841666,-0.6366411888400796
348,-0.47539021899841666,-0.6097621881461364
349,-0.9483011209114612,-0.606702870555791
350,-0.8957972739942215,-0.6398365001524173
351,-0.8957972739942215,-0.6449585944042305
352,-0.8957972739942215,-0.5598097774322743
353,-0.8211308638212592,-0.5544616449358791
354,-0.9383858328644817,-0.5981743271751851
355,-0.716825598074322,-0.6060623147886147
356,-0.33133704002096015,-0.5010551490319012
357,-0.586394176931492,-0.48985916951855535
358,-0.7388390611050222,-0.5049976310680432
359,-0.7388390611050222,-0.5436439148356303
360,-0.7388390611050222,-0.5732077928850843
361,-0.7388390611050222,-0.5764089717596756
362,-0.7388390611050222,-0.6436690866200814
363,-0.7388390611050222,-0.6655302758267169
364,-0.7388390611050222,-0.6939339109837993
