,VIX/NDDLCA inst_corr,VIX/NDDLCA hist_corr
166,-0.7135940438912743,-0.7697064440206494
167,-0.7135940438912743,-0.7624461594057902
168,-0.7135940438912743,-0.7674092427761243
169,-0.9311262187065577,-0.7711644126223307
170,-0.5475454187279468,-0.7872437955775927
171,-0.5475454187279468,-0.7833479329120682
172,-0.5475454187279468,-0.7888823002786114
173,-0.5475454187279468,-0.7963364133422167
174,-0.8837309687442364,-0.8034005555039572
175,-0.8837309687442364,-0.8010524259650942
176,-0.8837309687442364,-0.7932684732978548
177,-0.8837309687442364,-0.8008325796351672
178,-0.8837309687442364,-0.7975071577212723
179,-0.9893299355677635,-0.7826600125937789
180,-0.5884147891489538,-0.6489602879465033
181,-0.5884147891489538,-0.7388738609380331
182,-0.5884147891489538,-0.7096494414944772
183,-0.5884147891489538,-0.6362866951619655
184,-0.7841801130863223,-0.706935252767004
185,-0.4199905825100549,-0.6310589829728773
186,-0.5474118572967759,-0.6266999614574446
187,-0.5474118572967759,-0.6501923669867733
188,-0.9192965152178979,-0.670353162421498
189,-0.39293387413066694,-0.6932786826325426
190,-0.8219071846174107,-0.7486330810080911
191,-0.8219071846174107,-0.7478730486598448
192,-0.8219071846174107,-0.7739862139060832
193,-0.8219071846174107,-0.7391255834319818
194,-0.6214866599531421,-0.7300386909635086
195,-0.7586931025869452,-0.7328889139897621
196,-0.7586931025869452,-0.7588116089745941
197,-0.7586931025869452,-0.7598589752254687
198,-0.799723984241984,-0.7838933716606263
199,-0.746778398281626,-0.7789353991728639
200,-0.746778398281626,-0.7944558187513875
201,-0.746778398281626,-0.7662532959082013
202,-0.746778398281626,-0.7664551422347297
203,-0.746778398281626,-0.7383733534602214
204,-0.746778398281626,-0.7797430885857997
205,-0.746778398281626,-0.7785917251349852
206,-0.746778398281626,-0.7776310382535818
207,-0.746778398281626,-0.8313516138260921
208,-0.746778398281626,-0.8226247348366755
209,-0.746778398281626,-0.8184829309029072
210,-0.746778398281626,-0.8232175952979622
211,-0.746778398281626,-0.8257611504266849
212,-0.746778398281626,-0.8050894394590509
213,-0.746778398281626,-0.7980904297264441
214,-0.746778398281626,-0.7867760780236046
215,-0.746778398281626,-0.8109748508171004
216,-0.746778398281626,-0.8066546613684689
217,-0.746778398281626,-0.7748249878799691
218,-0.746778398281626,-0.7167091509304655
219,-0.746778398281626,-0.7009439849238153
220,-0.746778398281626,-0.7286139879950879
221,-0.746778398281626,-0.718924059431193
222,-0.746778398281626,-0.6674554524053705
223,-0.746778398281626,-0.7423584664060029
224,-0.746778398281626,-0.724360862182132
225,-0.746778398281626,-0.7302471859347579
226,-0.9242770483168428,-0.6320618225455135
227,-0.9242770483168428,-0.5425646171663602
228,-0.9242770483168428,-0.5359686793464399
229,-0.9242770483168428,-0.49928027110178685
230,-0.9242770483168428,-0.5174726469741897
231,-0.9242770483168428,-0.5170951020604065
232,-0.9242770483168428,-0.4695679514802312
233,-0.9242770483168428,-0.44073747511909395
234,-0.9242770483168428,-0.3488914738459488
235,-0.5723444691044943,-0.3308501008805023
236,-0.9403755510932044,-0.5316611257722712
237,-0.9403755510932044,-0.5364642577164845
238,-0.8623327967337363,-0.5139193013780277
239,-0.8623327967337363,-0.5452537450221883
240,-0.8623327967337363,-0.5467084724868411
241,-0.8623327967337363,-0.5582164291292702
242,-0.8623327967337363,-0.5534693921463223
243,-0.8623327967337363,-0.5421130405573682
244,-0.8623327967337363,-0.5423344624801261
245,-0.8623327967337363,-0.5209090436403656
246,-0.8623327967337363,-0.5233569795966231
247,-0.8623327967337363,-0.5351938368012527
248,-0.8623327967337363,-0.5084335046590344
249,-0.8623327967337363,-0.5325451877746078
250,-0.8623327967337363,-0.5374735032561849
251,-0.8623327967337363,-0.5737146999116648
252,-0.7331806827795371,-0.5633904503344498
253,-0.7119348946076152,-0.5414707781735094
254,-0.7898706600148427,-0.5611951992463671
255,-0.7898706600148427,-0.6041077889245378
256,-0.7898706600148427,-0.6064244418638883
257,-0.7898706600148427,-0.6269030324993708
258,-0.7898706600148427,-0.5355769405671802
259,-0.7898706600148427,-0.522413135206483
260,-0.8167352125240518,-0.4955121966777475
261,-0.8879128217173237,-0.4385443230060592
262,-0.8879128217173237,-0.39914213057409353
263,-0.9443650110979577,-0.42046262766565257
264,-0.9443650110979577,-0.4112780077390826
265,-0.9443650110979577,-0.42519730187373034
266,-0.9443650110979577,-0.4581766301382127
267,-0.9443650110979577,-0.4843289829537952
268,-0.9716625075179656,-0.46124339379174484
269,-0.9716625075179656,-0.47924426116385854
270,-0.9716625075179656,-0.5108219758515458
271,-0.9716625075179656,-0.5114034386601083
272,-0.9716625075179656,-0.47631296247338395
273,-0.9716625075179656,-0.43936012832150567
274,-0.9716625075179656,-0.45631273671099726
275,-0.9716625075179656,-0.4543097478566775
276,-0.9716625075179656,-0.43137948986711105
277,-0.9716625075179656,-0.3130842324078788
278,-0.9716625075179656,-0.3069854436851327
279,-0.9716625075179656,-0.3473310836875743
280,-0.9716625075179656,-0.44096233343277663
281,-0.9716625075179656,-0.4481641158020655
282,-0.9716625075179656,-0.5333422607272313
283,-0.9716625075179656,-0.5641578073191503
284,-0.9716625075179656,-0.6011425909504802
285,-0.9716625075179656,-0.6210168182002196
286,-0.9716625075179656,-0.6052185230277123
287,-0.8572624179992532,-0.5969072061270321
288,-0.7335024964401274,-0.6750570621667992
289,-0.7335024964401274,-0.7532406678448786
290,-0.7335024964401274,-0.7793910293339792
291,-0.7335024964401274,-0.7917083131966218
292,-0.7335024964401274,-0.8070588340629531
293,-0.7335024964401274,-0.8191628131882761
294,-0.7335024964401274,-0.8394219569255194
295,-0.7335024964401274,-0.8390653519855971
296,-0.7335024964401274,-0.8358389080891084
297,-0.7335024964401274,-0.8489279509039303
298,-0.7335024964401274,-0.8476668924912953
299,-0.7335024964401274,-0.8489197267238857
300,-0.7335024964401274,-0.8549772670219659
301,-0.7335024964401274,-0.8366308240927338
302,-0.7335024964401274,-0.834857669925066
303,-0.7335024964401274,-0.8271497751238872
304,-0.7335024964401274,-0.7903943132846951
305,-0.7335024964401274,-0.7815571534701194
306,-0.7335024964401274,-0.7708465402332401
307,-0.7335024964401274,-0.7661099111852256
308,-0.7335024964401274,-0.7743657870795776
309,-0.7335024964401274,-0.7718972168323914
310,-0.7335024964401274,-0.6920922736479354
311,-0.7335024964401274,-0.5993591169365323
312,-0.5890833373570409,-0.6219631077962473
313,0.027638935601976156,-0.3072273581625317
314,-0.5954487717463162,-0.20699059092104874
315,-0.5954487717463162,-0.15577674026338253
316,-0.5954487717463162,-0.13522364957879168
317,-0.5954487717463162,-0.118513653633768
318,-0.5954487717463162,-0.1875962618017931
319,-0.5954487717463162,-0.17419389212585465
320,-0.5954487717463162,-0.14811377448964097
321,-0.5954487717463162,-0.14030235853840595
322,-0.5954487717463162,-0.15047556591087907
323,-0.5954487717463162,-0.13299798229306503
324,-0.5954487717463162,0.027208110286818916
325,-0.5954487717463162,-0.0029002371709439504
326,-0.5954487717463162,0.008137348731699882
327,-0.6063428446261978,-0.0018279937630798025
328,-0.6063428446261978,0.046789469688021564
329,-0.5530326553465797,0.01785320047850516
330,-0.591530356115174,-0.5344290576351691
331,-0.8899489807103979,-0.5242709957589231
332,-0.8899489807103979,-0.5595583144094626
333,-0.7580733170979291,-0.5614331906681816
334,-0.8871062656685916,-0.6399592644534587
335,-0.8871062656685916,-0.6931070163830413
336,-0.8871062656685916,-0.7234584218968774
337,-0.8963168967157574,-0.7225823331362841
338,-0.8963168967157574,-0.7115765190017459
339,-0.5064392228958843,-0.66793814533568
340,-0.8267927659832391,-0.7057611900726827
341,-0.8267927659832391,-0.7153237785413329
342,-0.8267927659832391,-0.7013445146997322
343,-0.8267927659832391,-0.7015271783780821
344,-0.8267927659832391,-0.7057585927822579
345,-0.622873844031021,-0.7081409617549931
346,-0.7401953250394665,-0.7114722080691188
347,-0.7401953250394665,-0.7080991817087249
348,-0.7401953250394665,-0.7621549248834905
349,-0.45583542028030505,-0.743998838496104
350,-0.7929309381351812,-0.7727556074048662
351,-0.7929309381351812,-0.7785865029042677
352,-0.7929309381351812,-0.7772988289205884
353,-0.7142554586600592,-0.7683106064651367
354,-0.5431425172540789,-0.752149698292898
355,-0.9651198335209618,-0.7559149945291603
356,-0.9651198335209618,-0.7089006252581508
357,-0.9651198335209618,-0.725096368124969
358,-0.8813890217850019,-0.7262437898994364
359,-0.8908967836678718,-0.748375098373757
360,-0.8908967836678718,-0.7632640970068301
361,-0.8908967836678718,-0.7731069484542482
362,-0.8908967836678718,-0.7353344213603321
363,-0.8908967836678718,-0.727438020869169
364,-0.8908967836678718,-0.7384020954720971
