,VIX/LBEATREU inst_corr,VIX/LBEATREU hist_corr
166,-0.755681661023512,-0.19119294538184098
167,-0.86628791845331,-0.19115593916055537
168,-0.5457521205694702,-0.19114284907844395
169,-0.26017808226486744,-0.18971800732289712
170,-0.21998540889494486,-0.17227684344701127
171,-0.8856348850802179,-0.20119047381832036
172,-0.9256211723073974,-0.20586774781458012
173,-0.9500731323957821,-0.22936847945519806
174,-0.651804678306097,-0.22281188973364888
175,0.03145052960755058,-0.2076491537264961
176,0.31388477646470053,-0.1723097646282116
177,-0.04437126675157445,-0.14934962951606248
178,-0.4706464259927456,-0.15789051658644881
179,-0.5899720612673212,-0.15404570192346373
180,-0.5227643025082855,-0.01763577904458804
181,-0.5405602101608565,-0.2950192371013108
182,-0.4914147348724291,-0.26381185518797434
183,-0.9966808838956313,-0.22166976422678966
184,-0.7926041066017429,-0.3605377628967671
185,-0.843235335790737,-0.3699387997904361
186,-0.7738701016051878,-0.36904376423407703
187,-0.9304630763459416,-0.2684849546065112
188,-0.6045051229529352,-0.2908510388360811
189,-0.3907957173087756,-0.2774675705661886
190,-0.5800343656733112,-0.45070990314340864
191,-0.9489159323459138,-0.4535684885779361
192,-0.9489159323459138,-0.5305425473508897
193,-0.4883838811019815,-0.49358395076158773
194,-0.36692324594415837,-0.45315049793894174
195,-0.8905074655459044,-0.4316048819171391
196,-0.8259952457591712,-0.42117778355690727
197,-0.590865348659636,-0.44978654606761537
198,-0.19671373496517439,-0.4919295025674204
199,-0.062082739973119,-0.5198121490368388
200,-0.19976000332141397,-0.5025753843051315
201,-0.6593974471689409,-0.4933641394388203
202,-0.8608289815063487,-0.49132272980591524
203,-0.6459340226863141,-0.4620884353445134
204,-0.16322889347942496,-0.5102252259998633
205,-0.23080594145689806,-0.48556723849988204
206,-0.20211374846524263,-0.4766835278135045
207,-0.02726072269499179,-0.46221478618779815
208,-0.167170652689348,-0.44575760074947357
209,-0.6312645014795436,-0.42245991420465123
210,-0.8180810922522002,-0.42899677134790853
211,-0.1437354968821608,-0.4207140145687506
212,0.23587074698178234,-0.20301465380713035
213,-0.2856281453139826,-0.13199798372737034
214,-0.5306054521395269,0.0013209268689100475
215,-0.6509634956301059,-0.03099105510678594
216,-0.7651312919005175,0.05389689580555068
217,-0.7651312919005175,0.09625940391061218
218,-0.7651312919005175,0.19636376033101988
219,-0.7651312919005175,0.21314811360592323
220,-0.8028101703839385,0.17530166102627495
221,-0.7520344550646435,0.18407932805067603
222,-0.5233418134420897,0.18556024230772478
223,-0.7547295832287528,0.1408952043865233
224,-0.7547295832287528,0.2568918789933215
225,-0.876845606566798,0.24859677739698952
226,-0.6522536139377713,0.2672423880966492
227,-0.6522536139377713,0.03787278917330523
228,-0.6522536139377713,-0.015990684002192265
229,-0.6522536139377713,-0.06767675820814442
230,-0.6522536139377713,-0.08202353906256915
231,-0.6522536139377713,-0.11144767457650477
232,-0.6522536139377713,-0.022996434639926264
233,-0.5966989957831094,-0.011449665712276945
234,-0.9851304149793105,-0.12235845429853634
235,-0.5696442637759246,-0.14936890256542626
236,-0.2899586662420647,-0.2919327483634026
237,-0.019781036176375947,-0.09087586609606395
238,-0.17737684371414494,-0.08849516175292298
239,-0.455370638458023,-0.1530718968492419
240,-0.9457105916302038,-0.1804577591815756
241,-0.9457105916302038,-0.18610513164819692
242,-0.9457105916302038,-0.21094112390884143
243,-0.9457105916302038,-0.2200844675873212
244,-0.9457105916302038,-0.23007081760983492
245,-0.9457105916302038,-0.22516141158751038
246,-0.9457105916302038,-0.22151922454564052
247,-0.9457105916302038,-0.2423594734944008
248,-0.9457105916302038,-0.2541250526447505
249,-0.9457105916302038,-0.16000542085415675
250,-0.6575918235790088,-0.14655656360722394
251,-0.8305028576784957,-0.25428426095231826
252,-0.868291537122841,-0.264845689764133
253,-0.823250359429154,-0.32216993117560155
254,-0.5462245724379556,-0.3251495017984912
255,-0.7402588782394542,-0.489265192475556
256,-0.658973769401216,-0.4604562205062885
257,-0.9434269979734425,-0.5048920235516846
258,-0.9434269979734425,-0.5853870898516238
259,-0.9892435807541408,-0.6730573516014178
260,-0.9035173669852307,-0.7167641332086941
261,-0.5018089967504358,-0.7107341862899891
262,-0.37143047141842495,-0.6411414171013429
263,-0.5401988455155674,-0.6649148358603292
264,-0.5401988455155674,-0.6550006023527779
265,-0.5401988455155674,-0.6727640390391828
266,-0.9820148864421804,-0.6890920868257999
267,-0.9820148864421804,-0.7162377409514211
268,-0.9820148864421804,-0.7278793382294168
269,-0.9486055846495498,-0.7132688848035252
270,-0.6056221959966739,-0.7024277172332496
271,-0.6056221959966739,-0.7028894844777036
272,-0.6056221959966739,-0.7146501048298048
273,-0.6056221959966739,-0.7003729978609317
274,-0.6056221959966739,-0.696799430972708
275,-0.6056221959966739,-0.6713911183456344
276,-0.6056221959966739,-0.6474135878548352
277,-0.6056221959966739,-0.5591298189832324
278,-0.8374385844011698,-0.6012731271778403
279,-0.524526164441134,-0.5143575683225494
280,-0.3751540431193477,-0.428449471612068
281,-0.18434404085568257,-0.4271862001001191
282,0.08979090591688116,-0.29948217047931
283,-0.1195071126127173,-0.26374560247743006
284,-0.47667705846356334,-0.3391146125901402
285,-0.8870287855952891,-0.28631269380757257
286,-0.8870287855952891,-0.23587347843510117
287,-0.550770079275659,-0.17863972605671946
288,-0.40762173318192385,-0.08320889850974428
289,-0.24241826105068967,-0.1317088854284207
290,-0.12331622927354767,0.007638276715011719
291,-0.6593804892749192,-0.12015640296504292
292,-0.6593804892749192,-0.13870371165037537
293,-0.5395617579554625,-0.17322886367544546
294,-0.5071169910354245,-0.15137889707879276
295,-0.5821198378395347,-0.1254700043597689
296,-0.5821198378395347,-0.14497805406428613
297,-0.5821198378395347,-0.140297252914344
298,-0.41755607714434895,-0.14121762359094395
299,-0.4010947979134978,-0.10807300633255582
300,-0.4010947979134978,-0.09777609837430967
301,-0.4010947979134978,-0.05436632569969529
302,-0.7580979628210588,-0.15220016211728024
303,-0.6779008970980467,-0.11944692994526512
304,-0.7287697719559338,-0.2169244484126062
305,-0.724481667666995,-0.2756498322370273
306,-0.724481667666995,-0.29400004425353116
307,-0.7481906949283202,-0.26540815277051416
308,-0.10214319559698655,-0.2026395407381925
309,-0.1938343818437707,-0.2034402667674223
310,-0.5119355788950345,-0.25479419436677286
311,-0.8357875008518693,-0.25471943327737107
312,-0.8679062158070169,-0.3896022247378623
313,-0.8679062158070169,-0.3722153274762841
314,-0.9377718512921547,-0.4113646172491019
315,-0.8080384283909968,-0.46316334071542065
316,-0.8080384283909968,-0.4644622003116579
317,-0.8080384283909968,-0.4896446940831771
318,-0.8080384283909968,-0.5021045756697692
319,-0.8080384283909968,-0.49637149939532577
320,-0.5816528034139191,-0.4732375215043726
321,-0.8004609028014728,-0.520425923740923
322,-0.8004609028014728,-0.5270737462426488
323,-0.9903682294719433,-0.5253853807733148
324,-0.9903682294719433,-0.49279584738346804
325,-0.687196803535712,-0.5315954023470415
326,-0.7556831974650049,-0.5785336914658531
327,-0.5956676288993035,-0.5690433968943296
328,-0.6989318103089892,-0.5774746957431561
329,-0.33135222392168384,-0.5847514424022436
330,-0.3910813593908623,-0.5663680087518037
331,-0.7641674035258736,-0.5984877500694384
332,-0.7641674035258736,-0.6660459401534035
333,-0.5870250924544336,-0.6360022265455149
334,-0.7198572392743346,-0.6366593174339478
335,-0.5660865076615402,-0.6180682740353262
336,-0.777015796978018,-0.6208706462829585
337,-0.6107056425276952,-0.6003071067926249
338,-0.9742735349692448,-0.570728765885447
339,-0.4142383202532359,-0.5626048393046794
340,-0.6284461374230792,-0.5704982177661129
341,-0.6284461374230792,-0.5754531626528003
342,-0.6284461374230792,-0.5810885539751869
343,-0.6284461374230792,-0.5740375140607541
344,-0.6284461374230792,-0.5741647245874065
345,-0.7062344865327309,-0.5997475726364054
346,-0.5436057637503067,-0.6403087728247826
347,-0.4336253071092696,-0.6045812574654359
348,-0.892456583776081,-0.5659934167665662
349,-0.40451290863684597,-0.5648734466237008
350,-0.7619628933053142,-0.5465401267243071
351,-0.7742865767947331,-0.5469392779100142
352,-0.3512295511050976,-0.589981994023042
353,-0.4032197022218243,-0.5479860682229817
354,-0.4032197022218243,-0.4873865903323027
355,-0.9450286421154068,-0.4941089113788778
356,-0.680862633044012,-0.5245455755640692
357,-0.5428154670200782,-0.5077772069933253
358,-0.6646581428053412,-0.47649724073946453
359,-0.834982999859869,-0.5110655616789286
360,-0.834982999859869,-0.5412289098393548
361,-0.834982999859869,-0.5411608860880863
362,-0.9497608929021918,-0.5449555058438317
363,-0.8775195182337062,-0.546615682757107
364,-0.8775195182337062,-0.5509906258394311
