,TYVIX/SPY inst_corr,TYVIX/SPY hist_corr
165,-0.9175063489998763,-0.6374144590440003
166,-0.9175063489998763,-0.6318733991348827
167,-0.9175063489998763,-0.6461440343890317
168,-0.9175063489998763,-0.685618818830792
169,-0.449499410939681,-0.6808129141673827
170,-0.17940100813719767,-0.6496635786458345
171,-0.5692624822063885,-0.6530860501664034
172,-0.8439224023907573,-0.6518569069559538
173,-0.700271329540204,-0.7513943407746067
174,-0.7283163637992028,-0.7406193009919969
175,-0.9362564489768588,-0.7271546687532351
176,-0.8081543911273984,-0.725602964969867
177,-0.8081543911273984,-0.7276646159991806
178,-0.6016512335755255,-0.7605902354674656
179,-0.5058817345870138,-0.6701630471699235
180,-0.5058817345870138,-0.732966862306178
181,-0.5058817345870138,-0.7276434031983264
182,-0.6694225192044045,-0.4119175683536907
183,-0.6694225192044045,-0.41233838687507035
184,-0.6694225192044045,-0.340504816452415
185,-0.6081229822370846,-0.34946899717848506
186,-0.8982854105309599,-0.44636676510706896
187,-0.23873011325540913,-0.35087033533447964
188,-0.21609007810646988,-0.2447291247013236
189,-0.7193530010175758,-0.2973029429463446
190,-0.6630871285244729,-0.3419833719382392
191,-0.6630871285244729,-0.38800707248665783
192,-0.6630871285244729,-0.48433893268049377
193,-0.7480669300239898,-0.4927486967487074
194,-0.39716313858257457,-0.4533251426763708
195,-0.76596049317044,-0.49505437273530783
196,-0.76596049317044,-0.5384683899427959
197,-0.76596049317044,-0.5624259167186995
198,-0.6645062971763345,-0.5742082570904412
199,-0.600434740242853,-0.5433741535903229
200,-0.6745357459448637,-0.5454052069537418
201,-0.901012776138241,-0.5231392791787752
202,-0.8249873516284271,-0.49151419035321525
203,-0.34650905224421286,-0.48071537802054454
204,-0.025410020136925008,-0.48311976720058825
205,-0.17031023768011358,-0.4411524613301997
206,-0.17031023768011358,-0.46278813308510564
207,-0.17031023768011358,-0.43477105414620953
208,-0.17031023768011358,-0.40286096935761084
209,-0.8465418099441213,-0.4123682275487076
210,-0.5151575010341883,-0.5360106252122089
211,-0.41213253379002235,-0.5241988529054901
212,-0.6692257463060695,-0.4297670752820982
213,-0.9379172169757957,-0.3920859275354229
214,-0.951658554171295,-0.3476348634901989
215,-0.951658554171295,-0.36154443494644184
216,-0.5820294935256953,-0.38275575121146826
217,-0.08556891648027694,-0.26008702003510376
218,-0.36632757080088313,-0.17199718940363115
219,-0.7664338993461032,-0.1990963421593302
220,-0.7664338993461032,-0.1768568584951641
221,-0.674653886623768,-0.23512123615939176
222,-0.5556964660754987,-0.2259818418460026
223,-0.8783883124659577,-0.283848496927706
224,-0.8783883124659577,-0.3072414117237414
225,-0.8783883124659577,-0.31562752197043087
226,-0.9241611256542241,-0.41758379878646873
227,-0.9066459007244566,-0.4228232166283188
228,-0.4861459824664122,-0.36714697187623146
229,0.013791795335159587,-0.3378534510571127
230,0.3190657631455005,-0.2392556167037672
231,0.10904652166885064,-0.19709025938775152
232,-0.37506573058682857,-0.1871511418644219
233,-0.3814359343192423,-0.10040540898214025
234,-0.36225431648289963,-0.1338833364424358
235,-0.7455709507537017,-0.38559817399148194
236,-0.7455709507537017,-0.42950593066457343
237,-0.3928711023845666,-0.36779007905454014
238,-0.7579852607773314,-0.4192232565770835
239,-0.7579852607773314,-0.48201588184367933
240,-0.6129272353716904,-0.49311067749732607
241,-0.3499541605300131,-0.45600366286407984
242,-0.3499541605300131,-0.4615283148978899
243,-0.3499541605300131,-0.45673056401375767
244,-0.3499541605300131,-0.47091330399255615
245,-0.5452062033471005,-0.43972223073682337
246,-0.43543319161404953,-0.3884381897847945
247,-0.8950098390616117,-0.39209054459477494
248,-0.8950098390616117,-0.3229549316799423
249,-0.8950098390616117,-0.35392727965224385
250,-0.8950098390616117,-0.37400228082921533
251,-0.8950098390616117,-0.4043009736557714
252,-0.8950098390616117,-0.5031032050250253
253,-0.706584784257248,-0.5344301515497408
254,-0.9595768851955033,-0.5550648369314876
255,-0.9595768851955033,-0.5779513591808386
256,-0.9595768851955033,-0.5853424258765646
257,-0.9595768851955033,-0.4890340153653024
258,-0.9595768851955033,-0.4568424328287074
259,-0.9595768851955033,-0.5207494401451129
260,-0.9595768851955033,-0.42502300042732377
261,-0.9945314922421116,-0.4054385201020998
262,-0.8615912501805951,-0.4401913782586505
263,-0.8615912501805951,-0.4681800229354423
264,-0.8615912501805951,-0.45838633246694255
265,-0.8615912501805951,-0.4876914110741261
266,-0.8615912501805951,-0.5207210850343159
267,-0.8615912501805951,-0.5200460255742352
268,-0.8615912501805951,-0.5839503320137298
269,-0.8615912501805951,-0.5880044352426191
270,-0.8615912501805951,-0.6647797023771284
271,-0.8615912501805951,-0.6597915897165928
272,-0.9108902229427037,-0.6497447190640461
273,-0.6645253148753855,-0.5727716595792999
274,-0.8955121088987806,-0.5511478029692498
275,-0.8955121088987806,-0.5709929190911041
276,-0.46365285921934973,-0.4614448447666008
277,-0.27292325404393863,-0.3412342692249737
278,-0.8597028488736072,-0.328019180760698
279,-0.8597028488736072,-0.3429510072741552
280,-0.8597028488736072,-0.37873238069166637
281,-0.8597028488736072,-0.3808864661177158
282,-0.8597028488736072,-0.3729433803208514
283,-0.8597028488736072,-0.3887121475713948
284,-0.8597028488736072,-0.34695684138010685
285,-0.8597028488736072,-0.4040282546837887
286,-0.8597028488736072,-0.4005231018208262
287,-0.9586675144199645,-0.5007865799585204
288,-0.9586675144199645,-0.4840489156142014
289,-0.9586675144199645,-0.538004721524741
290,-0.9586675144199645,-0.545404342657529
291,-0.9586675144199645,-0.54667500019368
292,-0.9586675144199645,-0.5438509426420757
293,-0.9586675144199645,-0.5399202784058518
294,-0.9586675144199645,-0.5274454680017394
295,-0.9586675144199645,-0.5940879729201033
296,-0.9586675144199645,-0.5664193762413962
297,-0.7482851683381675,-0.630241047116922
298,-0.8269262459276958,-0.5613018392501894
299,-0.8269262459276958,-0.6906101103789923
300,-0.8269262459276958,-0.6647404747118827
301,-0.8269262459276958,-0.6875593154440457
302,-0.8269262459276958,-0.6615392252071459
303,-0.8269262459276958,-0.6824991597084135
304,-0.8269262459276958,-0.6351216900544518
305,-0.8269262459276958,-0.6283804686533135
306,-0.8269262459276958,-0.5887832847124688
307,-0.8269262459276958,-0.5865823082286218
308,-0.8269262459276958,-0.6031771949676411
309,-0.8269262459276958,-0.5081921443394676
310,-0.8269262459276958,-0.4721606800250259
311,-0.8269262459276958,-0.3773541170698167
312,-0.8269262459276958,-0.3638132262019199
313,-0.6798383621555375,-0.2548399614734848
314,-0.6887608340359715,-0.24458242245821732
315,-0.6887608340359715,-0.2562613595481568
316,-0.6887608340359715,-0.2289036134329688
317,-0.6887608340359715,-0.28897652365815674
318,-0.7108063959185882,-0.32068554147980943
319,-0.36975856600982693,-0.12414247035165908
320,-0.36975856600982693,-0.21955199752560944
321,-0.36975856600982693,-0.2263367089713266
322,-0.36975856600982693,-0.12911455470477537
323,-0.36975856600982693,-0.0579824094883991
324,-0.4351165760827229,-0.04605314695289192
325,-0.44449486340964667,-0.16650136568949656
326,-0.6126275765716747,-0.2024044996313889
327,-0.35060817344973444,-0.21048719570839441
328,-0.4260786405149466,-0.20724346059426377
329,-0.5046896964041834,-0.36820065175541866
330,-0.2996750676856671,-0.1414094922174621
331,-0.4469065277526012,-0.22030303997734735
332,-0.6019475441022657,-0.19220085089222932
333,-0.8008667542456733,-0.2730600884765643
334,-0.8008667542456733,-0.267500294165428
335,-0.8008667542456733,-0.30419916964348914
336,-0.6765699116564985,-0.32541291608666845
337,-0.9233814277530191,-0.32035293378949997
338,-0.510891854660934,-0.32024003814741153
339,-0.7849279429287384,-0.4707840211946895
340,-0.9525139364921694,-0.5456978092880151
341,-0.890857562528133,-0.597839417179107
342,-0.890857562528133,-0.5875797769839385
343,-0.890857562528133,-0.5827028479153686
344,-0.6442946166430022,-0.6199199391849389
345,-0.836697994668442,-0.6231394787567427
346,-0.8530528551773502,-0.6924520959286202
347,-0.9549273381337972,-0.7026585800207971
348,-0.4989280625132983,-0.6609107256838422
349,-0.6724148564131467,-0.7064093627624335
350,-0.8801778618209195,-0.7176804763634116
351,-0.4134996123647136,-0.6542982953220201
352,-0.3740663676117655,-0.7735150175946679
353,-0.5151441171057386,-0.7566357004877178
354,-0.962368223559866,-0.7648569055405776
355,-0.962368223559866,-0.7639309432770272
356,-0.6354677069471953,-0.751807676969332
357,-0.4964910278345868,-0.7529412765024144
358,-0.4971037937483105,-0.6964126693308785
359,-0.4695368028169489,-0.6961422042506246
360,-0.01790035739610285,-0.6501683316421452
361,-0.10858784111982785,-0.5436853699464155
362,-0.6315604416916021,-0.48993606152643926
363,-0.7961704422971864,-0.3891838304568317
364,-0.5038117270546758,-0.39250928810057667
