,VIX/KOSPI inst_corr,VIX/KOSPI hist_corr,UKX/VIX inst_corr,UKX/VIX hist_corr,KOSPI/UKX inst_corr,KOSPI/UKX hist_corr
135,-0.7230026127251947,,-0.5699117818786091,,0.13188426173394105,
136,-0.8364024823081092,,-0.14311521547735137,,0.38386452089276146,
137,-0.3632754111620744,,0.3617996632188657,,0.38386452089276146,
138,-0.7124783030941387,,0.6669399064640473,,0.38386452089276146,
139,-0.7124783030941387,,0.6669399064640473,,0.9089272033876068,
140,-0.7124783030941387,,0.6669399064640473,0.167402437156768,0.9089272033876068,
141,-0.49425567201863274,,0.6669399064640473,0.20069637063981033,-0.1468966098832698,
142,-0.45571273940612017,,0.6669399064640473,0.13458874949932378,-0.5854302060185297,
143,-0.012816291472432788,,-0.8829125054042665,0.14099300858285038,-0.49625908754729864,
144,0.03831792994361855,,-0.8829125054042665,0.14313182069031538,0.41203912311729785,
145,-0.7944794474914759,,-0.8829125054042665,0.06269267275539474,0.41328233779018436,
146,-0.8812372354375709,,-0.8829125054042665,0.15747466982056557,0.9774244094451402,
147,-0.8532106954348726,,-0.8829125054042665,0.05505351263566971,0.9774244094451402,
148,-0.8532106954348726,,-0.8829125054042665,-0.0015355688671469048,0.3475907822152779,
149,-0.9158193996201629,,-0.8991172304357946,-0.009854464184143647,0.5779922760221169,-0.09826716942921718
150,-0.75751679524582,-0.08187722381871643,-0.8991172304357946,-0.013235475863549308,0.5517212184887272,-0.15143662100295371
151,-0.2782194813143581,-0.05925926720015243,-0.8991172304357946,0.10093989502842288,0.7450400560272201,-0.20487547275428897
152,-0.9548387070815969,-0.07040763333870467,-0.836249591075498,0.09953229962095621,0.7450400560272201,-0.18746902834262233
153,-0.7563034409291208,-0.0690851645659248,-0.8831328728467459,0.025151623476398478,0.8030910282494214,-0.19285724897784493
154,-0.9259526150493667,-0.11063323155053768,-0.4641120964147711,0.0023374929447969074,0.8030910282494214,-0.2664103723800173
155,-0.2045208292744825,-0.1955352387142958,-0.44221758230554636,-0.022961080257893143,0.8030910282494214,-0.2988144734343689
156,0.1632374568570736,-0.18628988874812202,-0.29920286068945046,-0.0017286460267488591,0.8030910282494214,-0.3706090492121978
157,0.7953648601108038,0.02322751513656505,-0.122727311581245,-0.0927906610794108,0.8030910282494214,-0.29017384478572583
158,0.5044394728231911,0.05461539123143802,-0.11900555777994792,0.00105730798776607,0.8030910282494214,-0.2618842466823476
159,-0.5624652349545458,0.03686871340351599,-0.1493201280900929,-0.07282024282119778,0.8030910282494214,-0.37101025726437353
160,-0.5219474430501835,0.0405898635294656,-0.22499466362805814,-0.2572764450928687,0.840233651852457,-0.34805441726730735
161,-0.09766497606003312,0.14902063118983327,-0.2586462766848579,-0.5280708184249658,0.528333176711427,-0.3071800848484758
162,-0.16814290861748785,0.13741181014138498,-0.12473052606739486,-0.14151206201373734,0.4213731084978407,-0.2322881629953611
163,-0.4330477317783959,0.1527270543523529,-0.32075316184346847,-0.19149231008226378,0.13480368721977884,-0.2915079459145741
164,-0.2740341630396239,0.13463562104177115,-0.6652191175196677,-0.22536525544671923,0.6665911840714189,0.018970237747519887
165,-0.19048461405546474,0.07912986552514852,-0.695154774937184,-0.18402487279531926,0.6665911840714189,0.028896115145133423
166,0.2206304046063017,0.1996456757332332,-0.8591398339560028,-0.22680723411880757,0.6665911840714189,0.27992645237738756
167,0.11445003143647402,0.12453616503549284,-0.6539454450341987,-0.226668994207543,0.6285910908538116,0.2971001061826439
168,-0.41674318384217357,0.14573614897262033,-0.8713268266812237,-0.2783999411934586,0.5836834108689584,0.2833917727190363
169,-0.32972301366123624,0.20007361859931452,-0.8117820208475576,-0.2831571713612175,0.5517821670588261,0.34956617664229084
170,-0.37209423298306743,-0.14785546022401924,-0.4318147236661481,-0.2765580321798934,0.4849452706004319,0.532508698175397
171,-0.34892655851728266,-0.380056983711235,-0.4318147236661481,-0.278362759146875,0.24866515191037056,0.6040504636735783
172,0.11169898064543886,-0.2285457817731977,-0.736814895419491,-0.2722437715679129,-0.316694028503336,0.17258588804955818
173,0.27085488419062387,-0.11331872766343111,-0.2470510942277245,-0.26788226134641574,-0.33511980045330136,0.11907358019056892
174,0.2794116029370549,-0.08542315753903829,-0.23553027607445942,-0.270228030216806,0.8655349182839166,0.17705060316349205
175,0.022322213071943167,-0.004539880964768948,-0.5864805701196663,-0.278071552317245,0.8655349182839166,0.2527246457699333
176,-0.8359021350313026,-0.052500739657413996,-0.6128586928111008,-0.27185740900552224,0.8593364636575944,0.24652709368895134
177,-0.49185290488409866,-0.06372184032950692,-0.39063229844504543,-0.26677454491105246,0.8430955691385995,0.2856479733227763
178,-0.49185290488409866,-0.1361037416676833,-0.18223005621976104,-0.29736608646242696,0.6930090094576469,0.30918219113206535
179,-0.49185290488409866,-0.16986712487844227,0.1962220712104301,-0.24132531899954793,0.7499676066024635,0.2904862831996076
180,-0.2955589761166799,-0.17637720908803406,-0.32087618904434523,-0.2597834667530018,0.877112611915422,0.3082864376106106
181,-0.23519045342976463,-0.16646708567651852,-0.32087618904434523,-0.2641366104789919,0.7172951975973536,0.3034182935600065
182,-0.9232857296988967,-0.19912744475756716,-0.7365402738473678,-0.2529804232887102,0.30790429246957157,0.3039971679562709
183,-0.9232857296988967,-0.20883710449757395,-0.7684775276895429,-0.05722908451536654,0.47619031804479767,0.2951571890639558
184,-0.34392412010961915,-0.20996070742654804,-0.7684775276895429,-0.34402242474474587,0.47619031804479767,0.3090835488922395
185,-0.4437629716474058,-0.21463700332990238,-0.9430639171266406,-0.3404599051545858,0.5716648585863088,0.33566130037942377
186,-0.39093426667237624,-0.2081349626351704,-0.8048838727985499,-0.22095513594158228,0.5473125605447037,0.34515009858634765
187,-0.2936195719888419,-0.18535880216485154,-0.8048838727985499,-0.33507319765726384,0.510738365397495,0.2935605498988291
188,-0.4644906801523108,-0.24902562410294046,-0.5385507417160554,-0.2729388065801602,0.8025167842811115,0.30619295780117034
189,-0.40288336208842673,-0.24214299370783263,-0.4812203622329978,-0.27914125763744824,0.730944631317602,0.3094694224403756
190,-0.5108581591716316,-0.25238080700365123,-0.4812203622329978,-0.380380097737034,0.8069981733131467,0.34588499162348724
191,-0.6690542207291952,-0.27439249518769526,-0.4812203622329978,-0.3891683302527576,0.6717256592314463,0.3448134352493434
192,-0.3849358257534272,-0.1935519206644116,-0.3130506680090746,-0.4206216834242894,0.453108295454982,0.29368843034617176
193,-0.43285563841304225,0.033900221150288526,-0.9444808276209766,-0.503193458639011,0.06759155193397975,0.1437572577473944
194,-0.9299317662811294,-0.10213889321636299,-0.9444808276209766,-0.5038868923359942,0.09778079871314027,0.46779444105245926
195,-0.6680791045639415,-0.18401180012798227,-0.046113468747811116,-0.4587053053669269,0.09778079871314027,0.536232182643882
196,-0.6355486584298923,-0.24136643024180635,0.4864290815262344,-0.34615392234406284,0.9878263479680085,0.4573699825754415
197,-0.6355486584298923,-0.48548857126962724,-0.1451263613176754,-0.32253606869806867,0.9267528513306809,0.47930327087935043
198,-0.6355486584298923,-0.4648989814753437,-0.5821848375473292,-0.3531061544071266,0.6913605440584626,0.48381194194665217
199,-0.07637817403537864,-0.46347072395485056,-0.7690216711555131,-0.3445278879491306,0.48988607607406837,0.45896209552338785
200,0.14128475026323892,-0.27681623815042317,-0.4234823548940268,-0.31517088385708464,-0.16503053153078687,0.39162763251566574
201,-0.34141790787661436,-0.280581300907208,-0.5754190659846472,-0.46904943750595457,0.26762230483218463,0.36700455853648095
202,-0.34141790787661436,-0.31179988863430275,-0.5754190659846472,-0.4628170182814114,0.5743123514180969,0.3353479659607068
203,-0.13014422271898807,-0.3191744741977497,-0.9196546167865213,-0.4595356629248659,0.36820541489971326,0.34459018456706053
204,-0.3586161356828422,-0.2467830818070503,-0.9196546167865213,-0.4755278155454198,0.024567460554145645,0.28598735731424685
205,-0.6842337901560764,-0.27375620395134753,-0.9196546167865213,-0.46003034268714166,0.20427885498716117,0.28775835978436043
206,0.013058944750563687,-0.2474249063600811,-0.7073975151023072,-0.44917898307579285,0.1541957381899539,0.28391131785194085
207,0.0884011038156575,-0.21615164169076953,-0.43360612355021283,-0.4457213534979005,0.6012229594551675,0.23763820078145123
208,-0.029484073466453892,-0.18682956328502276,-0.20588509500797586,-0.4008990417613199,0.7822648855542287,0.2543972485740832
209,-0.4710675150795698,-0.23625862373697956,-0.09773792149918262,-0.4071950000850277,0.7931866824975558,0.30559864280202026
210,-0.9899398116329948,-0.2452351784840474,-0.15908301004836714,-0.37432968202942174,0.7729703006077243,0.29189251692784707
211,-0.9031818329465697,-0.2523077018502417,-0.6696174294196414,-0.36992859704444425,0.7812490164819303,0.29722305050815845
212,-0.8801178422600013,-0.2256161670469596,-0.49770038968660957,-0.21188142283442246,0.7812490164819303,0.2742363240345524
213,-0.7864380124223862,-0.17145838975884528,-0.5622008425318964,-0.21433229983234026,0.7812490164819303,0.26659394762230254
214,-0.6311797222537369,-0.20463967384866288,-0.1914817304536477,-0.2084699163114948,0.7903608526334486,0.28348225813960537
215,-0.6311797222537369,-0.22684820381614798,-0.5305396503524803,0.06441971543483925,0.6253434239076402,0.30893085809034787
216,-0.8232822869438874,-0.22439518287472265,-0.7898961432902686,0.09741494633290952,0.8124798340567708,0.30470629893888374
217,-0.0484670402808743,-0.21440382800406887,-0.7898961432902686,-0.03714746031832053,0.8734623147897738,0.3530768223668484
218,-0.08749446743486596,-0.19400138937538242,-0.7898961432902686,-0.16281462039863004,0.7892459603258842,0.35275262289283055
219,-0.08749446743486596,-0.1391319722658363,-0.7898961432902686,-0.17391534412838236,0.5079360581371537,0.30328644249290226
220,-0.08749446743486596,-0.14242132530470075,-0.9482394993400038,-0.20626568935653916,0.6828491199734792,0.30186570734056395
221,-0.7657701748183622,-0.14125264747196992,-0.7831570181994143,-0.16447455866345218,0.7824149034653353,0.3011708336046018
222,-0.6891263394953574,-0.26671306853805293,-0.7831570181994143,-0.20858093105078535,0.7824149034653353,0.3989292451928568
223,-0.756893715197421,-0.18315189728378156,-0.7425046647939024,-0.1400186915743683,0.8893963577394373,0.3692693532271744
224,-0.756893715197421,-0.15879290551397054,-0.7425046647939024,-0.1595517104204188,0.6362970982245998,0.4696128192282155
225,-0.756893715197421,-0.2205743671525803,-0.7425046647939024,-0.1503923817098926,0.6361815168378989,0.41345728816532423
226,-0.4630282626600837,-0.15415998234541628,-0.7425046647939024,-0.11215076954584673,0.9197963199274128,0.5008738617751706
227,-0.23785902464281317,-0.10457591820305609,-0.7425046647939024,-0.1352483652293983,0.3809158207020642,0.5535888523085615
228,-0.002592816445325775,-0.17455384214032502,-0.528662158256445,-0.1761604107762677,-0.1820085845317626,0.47865981865397944
229,0.22682041872290906,-0.11403320849441259,-0.5697722952360853,-0.17156030137844913,0.17423458105068187,0.5030419684950521
230,-0.26082706323063853,-0.19985999893978035,-0.5697722952360853,-0.2687519820651538,0.1637410574288198,0.2917469726311887
231,-0.17507266565796573,-0.11578266513997046,-0.5697722952360853,-0.27419023026563566,0.3717346288489431,0.28289831010107236
232,-0.4347016613542875,-0.046317876578284845,-0.5697722952360853,-0.35587098616433743,0.3717346288489431,0.2953084765720864
233,-0.4347016613542875,-0.09211791400293533,-0.5015120678417475,-0.35215662588946306,0.3717346288489431,0.28843926350258003
234,-0.9724297626489794,-0.08715706129090318,-0.11743274560214823,-0.24541459265251178,0.3717346288489431,0.2787742311078226
235,-0.9724297626489794,-0.20427953123258444,-0.19748425503483324,-0.2344907691575898,0.619125819703737,0.27624333626087294
236,-0.9724297626489794,-0.21605878728933278,-0.35835667266336746,-0.28038813702030085,0.005687382067386991,0.26387484026869795
237,-0.9724297626489794,-0.1977491923160401,-0.9150152185742596,-0.520023421636078,0.2368410348866378,0.27705230027630606
238,-0.9724297626489794,-0.1853330104696666,-0.9150152185742596,-0.5323959540731692,0.8457650510455488,0.28428732706821414
239,-0.9724297626489794,-0.21303811482806542,-0.9150152185742596,-0.5237000339275548,0.8457650510455488,0.09898237902090193
240,-0.9724297626489794,-0.28589188517279573,-0.7914904173138552,-0.5149568507352934,0.7139434231551306,0.12689662459127346
241,-0.9724297626489794,-0.30377648299660176,-0.9893136074389657,-0.5228096718428803,0.9760922987792513,0.14465443278883516
242,-0.3235285192982932,-0.2881477507704558,-0.8082180711444802,-0.5031762374510073,-0.11323941706519847,0.1498733309271089
243,0.1691079897197009,-0.23533436669903196,-0.8082180711444802,-0.5136531458375485,-0.43499718136355464,0.018546032560660883
244,0.6578228078153561,0.03970631106799545,-0.8082180711444802,-0.49924231377392503,-0.15390999197314156,-0.04408766479645663
245,0.01937250843229579,0.05934565270100377,-0.8082180711444802,-0.49909007021133933,0.9418478536437163,-0.08296855403467084
246,-0.8285231473980718,0.06545740198640373,-0.8082180711444802,-0.43216747310158055,0.8749735397572316,-0.14691320452842938
247,-0.8285231473980718,0.07723607988291405,-0.8082180711444802,-0.429109402733615,0.6527528084704509,-0.1764675613785792
248,-0.8285231473980718,0.03781261148117356,-0.7242886017032355,-0.41797706713834587,0.8937174330938266,-0.15069541585076904
249,-0.8285231473980718,0.03385988478189581,-0.7213760913027095,-0.4402676132900736,0.8937174330938266,-0.16791065201197944
250,-0.8285231473980718,0.028362140188825172,-0.5943564770722759,-0.41414477776435527,0.8937174330938266,-0.03215810133067421
251,-0.817183678899974,-0.0115071570529478,-0.40184172974366567,-0.4092648836466722,0.35704429853279973,-0.03357548185808785
252,-0.5820257822086187,-0.01040020964858465,-0.8199563576101322,-0.4292297053514726,-0.11975121006364302,-0.1375968804392776
253,-0.25723798512922497,-0.007963754345198727,-0.6252644004241037,-0.4372971245292232,0.19655220217408031,-0.0483092039624548
254,-0.39935297383694807,0.0028851584001806712,-0.6337965374447316,-0.4867287043539986,0.3042047462252057,-0.07015227032557887
255,-0.4285139832166412,0.00201049370062429,-0.6049563286410559,-0.5040731884466589,0.7722175172782793,-0.032104288321230745
256,-0.7251001071765061,-0.07606068901504824,-0.9673089870210546,-0.6825033439116455,0.7482768314674387,0.012728090145824133
257,-0.723633102331917,-0.06791040417340895,-0.9673089870210546,-0.7084548328496575,0.8544145665497962,0.06435064190900577
258,-0.8541664410932567,-0.13164028399705596,0.3227145799307597,-0.6079199674344749,0.7375505380222959,0.18536338924665882
259,-0.6229159971060778,-0.16842019994489696,0.2583571775126377,-0.5486642795375145,0.2952546911692289,0.13695483320692525
260,-0.126296437846799,-0.1174581511416285,-0.38334044313642246,-0.5284008020067616,-0.13443599655077224,0.11045781035562299
261,0.0004662897191116591,-0.10291762169212662,-0.17595336868393985,-0.4834594232734071,0.1009308081926618,0.11890202923725585
262,-0.07009165020468065,-0.09629465354875988,-0.33475250863120504,-0.46438395889359635,0.34872125030833206,0.11957259561593173
263,0.0417641692616533,-0.0556375893130834,-0.6736250942190464,-0.44988940337567246,0.8490207765238146,0.13135758054738905
264,-0.15604735925054056,-0.07886297035154902,-0.5125125720096676,-0.46636458518226365,0.8457651966943984,0.24648518410857165
265,0.07842481445814224,-0.06829773536567897,-0.5125125720096676,-0.47644004052706024,0.9019252291492115,0.3500474436548113
266,-0.22041679801339906,-0.20264140064317093,-0.5125125720096676,-0.47691494089592956,0.9019252291492115,0.36127465685499194
267,-0.47295661120038046,-0.20138257780454935,-0.956715456096238,-0.5038257345404934,0.8598636532248511,0.3491580021326606
268,-0.7025931379628643,-0.1924567958045891,-0.956715456096238,-0.5369163616536946,0.7608682094558178,0.3383202828620704
269,-0.9753321046804206,-0.19654127308938352,-0.956715456096238,-0.5404209337904987,0.7978472676413862,0.39790565251316007
270,-0.9099783674735028,-0.1887126163620795,-0.956715456096238,-0.5557378818642755,0.9818017904948542,0.39344461236584116
271,-0.9099783674735028,-0.18610869761189391,-0.956715456096238,-0.5467210588801222,0.9818017904948542,0.3898294266900639
272,-0.6685978121231188,-0.2082094340522533,-0.956715456096238,-0.5957720278573952,0.7214058717136843,0.37657959094194
273,-0.897579080500514,-0.23885641799501092,-0.956715456096238,-0.5863677475528636,0.6739681650116396,0.3761524631629418
274,-0.897579080500514,-0.23920527391406127,-0.956715456096238,-0.5811016470817956,0.8283695794137037,0.48770963969306924
275,-0.897579080500514,-0.27561282084152394,-0.956715456096238,-0.5721622460715404,0.7444741041872229,0.47193137530465484
276,-0.9356541025271138,-0.28283179256316493,-0.956715456096238,-0.5337820333443428,0.39391533704787773,0.47118645909210893
277,-0.9356541025271138,-0.27762489296348053,-0.956715456096238,-0.5111770749969146,0.7094900699262748,0.4677896127858241
278,-0.9356541025271138,-0.22308423909995567,-0.6362467404478653,-0.15743980216425352,0.7094900699262748,0.46465457668960786
279,-0.6534866115139509,-0.18708056825726843,-0.29083977417074586,-0.08564624925975804,0.7094900699262748,0.4339995912686429
280,-0.6534866115139509,-0.10591920485536702,-0.47581456732674343,-0.2971105823911612,0.7094900699262748,0.38552961041775446
281,-0.6534866115139509,-0.066988467877696,-0.6460889617049114,-0.358385406195779,0.7094900699262748,0.5372554640247577
282,-0.5249067951375898,-0.13636503049656498,-0.5591795036136171,-0.3720740392463781,0.9676429494245397,0.5269544536916649
283,-0.47329173224365356,-0.11349327166241262,-0.09462470540806761,-0.31748332401015605,0.9676429494245397,0.6015836825473585
284,-0.5047051521421883,-0.07537478024160858,-0.5334944820512829,-0.37969606505643566,0.9676429494245397,0.6205812148071417
285,-0.5250701018561967,-0.1543006784038611,-0.5334944820512829,-0.38266350745039146,0.46817273707992846,0.6129280904052855
286,0.1694256950233555,-0.11024903988868186,-0.5334944820512829,-0.40284585410928236,0.15981401976094853,0.3088320931038306
287,0.4009963931291448,-0.054138329203826295,-0.5334944820512829,-0.3641901750222298,0.687379501875258,0.4424272900524763
288,-0.2794220731290083,-0.08648610884376504,-0.5334944820512829,-0.3816818172959267,0.687379501875258,0.48428925803700457
289,-0.2794220731290083,-0.14719402455761899,-0.758369458519054,-0.4087868584337352,0.687379501875258,0.5075361406964475
290,-0.2794220731290083,-0.0839696511981205,-0.566732687184434,-0.37618698514715077,0.9344269790500714,0.5296882130454942
291,-0.2794220731290083,-0.05237756150424577,-0.291237312806293,-0.29981713621078004,0.9344269790500714,0.4955690093737402
292,-0.852765279125861,-0.04823497719331356,-0.8548849540891107,-0.3612678625623584,0.9344269790500714,0.48870483947516913
293,-0.5556258868582248,-0.16421824434845578,-0.8548849540891107,-0.39112977084316164,0.7436974933799161,0.5069343398505117
294,-0.8796789259637238,-0.3002364995013478,-0.8548849540891107,-0.39723797691382584,0.44694168634293246,0.496880433042447
295,-0.8796789259637238,-0.3164670248703343,-0.8548849540891107,-0.4148597722124342,0.41270563935888877,0.47988736868836096
296,-0.9427243883829255,-0.3047329231918938,-0.8548849540891107,-0.4193067435158362,0.9976752806616929,0.5020356381374237
297,-0.9427243883829255,-0.3331670436991798,-0.8548849540891107,-0.4275949997204532,0.9976752806616929,0.5072493571488388
298,-0.33225281378990146,-0.33508851703727116,-0.8548849540891107,-0.42886049033295487,0.4968337543168906,0.5419737225876192
299,-0.06535015329477052,-0.2760558359761775,-0.8548849540891107,-0.446225107510401,0.043061661621034746,0.4892801014171794
300,-0.5879410261047817,-0.2820891709092829,-0.6906401637262634,-0.41366552484940544,0.8824342820827039,0.4934759616291663
301,-0.5879410261047817,-0.3000371789346202,-0.5970277694859117,-0.4453438354558271,0.8824342820827039,0.4828406101087033
302,-0.5879410261047817,-0.30662648059695186,-0.4308931086507709,-0.4937702099292964,0.8824342820827039,0.47229715534189426
303,-0.5879410261047817,-0.30717701121754515,-0.03296363563471937,-0.3842020594715281,0.8824342820827039,0.47353225840592006
304,-0.5879410261047817,-0.30048662722339536,-0.48138096309532363,-0.36391457461160714,0.8824342820827039,0.44726883124563893
305,-0.5879410261047817,-0.3311531861313202,-0.8316832242568029,-0.48880519449998455,0.38983766633739697,0.4410354696081146
306,-0.7421130517814974,-0.3296915123522193,-0.8316832242568029,-0.4795859867713552,-0.49142691344943995,0.3471233573830856
307,-0.7421130517814974,-0.3696160288227688,-0.8316832242568029,-0.47154450889782834,-0.5644091986471972,0.24491953573256
308,-0.7421130517814974,-0.39377797742496157,-0.8316832242568029,-0.46258211659816834,0.3656698374244372,0.29819614987267373
309,-0.8843319975269129,-0.6693085381407438,-0.9417090658155451,-0.477208894996031,0.7044312222203186,0.2655423845858777
310,-0.8843319975269129,-0.6551638273306918,-0.5769867355483108,-0.4659678317730505,0.7265620828836258,0.1939131934563635
311,-0.8843319975269129,-0.6645073754235794,-0.40757436333646857,-0.37789421403821843,0.7265620828836258,0.20523481839211535
312,-0.8843319975269129,-0.659842014947087,-0.50078655176889,-0.4063670122469116,0.7265620828836258,0.15479484027416315
313,-0.6840036365936382,-0.6118813712398862,-0.50078655176889,-0.3864740535619766,0.7265620828836258,0.14819588605867168
314,-0.6840036365936382,-0.6208583261787836,-0.9092471884125181,-0.2631576670248322,0.7265620828836258,0.14707438011146617
315,-0.46190428141690604,-0.5552256331661993,-0.8039002044916799,-0.22925060639784653,0.7523979884884694,0.0603630370423764
316,-0.6386437815985623,-0.3586888427480048,-0.46765247667480225,-0.20355479206715685,0.8195475895832272,0.14474526773485916
317,-0.9515660480081862,-0.4322984716770258,-0.9140305596536609,-0.1777097604459139,0.9828364880188549,0.13106728592808223
318,-0.9515660480081862,-0.44576437329774804,-0.9140305596536609,-0.18633269959243887,0.9851802577394839,0.06401811452158293
319,-0.4994079626194554,-0.39851163521640554,-0.9140305596536609,-0.1560998657939708,0.8310686910497682,0.044763974631999166
320,-0.6383261697752605,-0.385294265030518,-0.9140305596536609,-0.14890255171436032,0.6089864089791327,0.1017352157760691
321,-0.9763088469828304,-0.4567482681811762,-0.9140305596536609,-0.16153126709267718,0.7112584157058771,0.23690065402101868
322,-0.3908839939810065,-0.3827563679966321,-0.9140305596536609,-0.18178724577898792,0.7112584157058771,0.27693960235031295
323,-0.6741223297847082,-0.35041497116368026,-0.9140305596536609,-0.20175123918728635,0.7112584157058771,0.30617976896980575
324,-0.6741223297847082,-0.3307072938843123,-0.9140305596536609,-0.13604920975859716,0.7112584157058771,0.3030182647489605
325,-0.7192075012229784,-0.3050387967499008,-0.9140305596536609,-0.2553797795945306,0.7112584157058771,0.2825917515081789
326,-0.6031034821085064,-0.49224642712507594,-0.7650369498813416,-0.4641767283662206,0.5533687578914398,0.3660136775409391
327,-0.5996374987156156,-0.49144919264263665,-0.43225313100348134,-0.44687763481896553,0.3104059857824123,0.37055358251191794
328,-0.49485623688804065,-0.5315860115441714,-0.6785986677445762,-0.4536978284427247,0.5522048115338173,0.49618196670219206
329,-0.15566632853319712,-0.5321465289711118,-0.5178398008804079,-0.4515166930188254,0.44232724194483547,0.6335509724420312
330,-0.4588563118159139,-0.41651976597001533,-0.4523189303819505,-0.5517946367506492,0.7300687206845003,0.7239006792149604
331,-0.4588563118159139,-0.48214779116244144,-0.6401675025067141,-0.5502316432959923,0.9316337561038177,0.6879877302895774
332,-0.5757714091398799,-0.4789240619061001,-0.6401675025067141,-0.5108277044611006,0.31256550445093656,0.670922810524814
333,-0.1773758261086223,-0.4622796677522618,-0.6532237678894874,-0.5313469325828213,0.3965218061820689,0.6740819692412963
334,-0.33986298926908204,-0.453029471358213,-0.727970717472464,-0.5376335432940426,0.5934584134782451,0.6605601730681856
335,-0.7142891393057718,-0.4680139443164219,-0.898747084530836,-0.558033024384049,0.643323489427496,0.6623936763636494
336,-0.8503443272149869,-0.4690598616505273,-0.8499675769745725,-0.5565942435870902,0.643323489427496,0.6714910302774741
337,-0.9280196887663901,-0.46771568584065676,-0.8499675769745725,-0.5448520529661296,0.7311008714448762,0.6789686533003029
338,-0.27474403243554535,-0.450655677204866,-0.8499675769745725,-0.5475432239905655,0.7572134713147703,0.706278862962441
339,-0.07355641131354498,-0.42830084235098576,-0.25117620709287547,-0.5879315275990152,0.5144007696058016,0.707316619119015
340,0.013909313606888612,-0.380954421296663,-0.3682040171510912,-0.5138325948271912,0.007135336652377578,0.6397738328418257
341,-0.5937170655916009,-0.35209547685772496,-0.7600011563562921,-0.5405705094876757,0.41171188899328315,0.6494990894449509
342,-0.5937170655916009,-0.3420803075831467,-0.7600011563562921,-0.5266817974570354,0.12587589388798642,0.532556039839547
343,-0.5937170655916009,-0.3605800332422033,-0.4799274152683597,-0.47150563124603156,0.18356336717401042,0.5046524522382302
344,-0.8200130604360871,-0.4155831539732921,-0.6514261982446365,-0.48830348718463235,0.6139882368134769,0.5141696845229441
345,0.11557597532093702,-0.41915464151897946,-0.6185639848199577,-0.5245988246096833,-0.05268158235592573,0.5163298563669946
346,0.12890453882306327,-0.3609360665787772,-0.5789838880132918,-0.5161584208433364,-0.3401494625186638,0.42572959687421524
347,-0.5098269280626684,-0.3659360805605214,-0.5789838880132918,-0.5078643682357626,-0.1146924877713522,0.41853489648004755
348,-0.04358819909061536,-0.3445873732508302,-0.5789838880132918,-0.4623885951150135,-0.346485211987094,0.3724292326382927
