,KOSPI/VIX inst_corr,KOSPI/VIX hist_corr
219,-0.7724326691365596,-0.5277291159288828
220,-0.9350196127887971,-0.5331546756996921
221,-0.9350196127887971,-0.542782253420138
222,-0.9350196127887971,-0.5842754847695046
223,-0.9350196127887971,-0.5910588676456869
224,-0.6918575911563214,-0.5910171810573726
225,-0.6918575911563214,-0.5751950312435578
226,-0.9657539545583783,-0.5764555404558885
227,-0.9657539545583783,-0.5819464228775133
228,-0.9657539545583783,-0.585034660258324
229,-0.9657539545583783,-0.5838052394074942
230,-0.9657539545583783,-0.5858439382186135
231,-0.9657539545583783,-0.5851125152469566
232,-0.9657539545583783,-0.6130200276509409
233,-0.9538451783291519,-0.38179537084037507
234,-0.9538451783291519,-0.7593542836698172
235,-0.9538451783291519,-0.7623983083211697
236,-0.9538451783291519,-0.7351740618341521
237,-0.979966289472631,-0.711387426238564
238,-0.979966289472631,-0.7137706882259734
239,-0.3279585828538185,-0.714241237643053
240,0.21554022257355857,-0.6288364218027549
241,-0.7982789794867173,-0.6263892604723232
242,-0.3505443594790374,-0.6339352569652242
243,0.44507484769361016,-0.5383895490900943
244,-0.3544517744167643,-0.49193608498038066
245,-0.3544517744167643,-0.5041282985119351
246,-0.3544517744167643,-0.5166033933478564
247,-0.8304126468269415,-0.4975077211260055
248,-0.8304126468269415,-0.5005841670143717
249,-0.8304126468269415,-0.4930366394560457
250,-0.8304126468269415,-0.49216093546663275
251,-0.8304126468269415,-0.5054912377093687
252,-0.8304126468269415,-0.5151771964028248
253,-0.8304126468269415,-0.5100489117173997
254,-0.8304126468269415,-0.5246110980049148
255,-0.8304126468269415,-0.5287348089487238
256,-0.8304126468269415,-0.23310802895861196
257,-0.8304126468269415,-0.16229330704341502
258,-0.9521359301121336,-0.05769671977334283
259,-0.9521359301121336,-0.08272593379965268
260,-0.9521359301121336,-0.09650467882030084
261,-0.9521359301121336,-0.07367925468607943
262,-0.9521359301121336,-0.23004020230222996
263,-0.6285596398740332,-0.18582547409175232
264,-0.4519965843391098,-0.1604652320172741
265,-0.4519965843391098,-0.34017939041692974
266,-0.4519965843391098,-0.35423301089359366
267,-0.4519965843391098,-0.3397521105598832
268,-0.4519965843391098,-0.31566266830519246
269,-0.4519965843391098,-0.6323782389659909
270,-0.4519965843391098,-0.6310793821711149
271,-0.6171395494112192,-0.6067587830869023
272,-0.9185070539881827,-0.6192962665098386
273,-0.9185070539881827,-0.6284902658762949
274,-0.9185070539881827,-0.6213457803687745
275,-0.9185070539881827,-0.6263238758508161
276,-0.9185070539881827,-0.5995566927281373
277,-0.5436470488733989,-0.5632647946162487
278,-0.25272168884765767,-0.5006947243276236
279,0.26864476607944404,-0.4254163949688393
280,0.27616807462083554,-0.4149734007185387
281,0.24207985709927318,-0.32699192424533313
282,-0.6206943840811446,-0.28561852182949515
283,-0.4342483218291761,-0.2706459954834484
284,-0.4342483218291761,-0.30990618431749034
285,-0.6806668811367281,-0.34898164195981396
286,0.4047278193116227,-0.26332289812529036
287,-0.9037092549314584,-0.263990263222131
288,-0.9037092549314584,-0.2768364665542894
289,-0.9037092549314584,-0.3312395176203957
290,-0.9037092549314584,-0.3303532387204766
291,-0.9037092549314584,-0.14532514524498263
292,-0.9037092549314584,-0.14486756011392588
293,-0.9037092549314584,-0.16831618194785802
294,-0.9037092549314584,-0.09954540884263402
295,-0.9037092549314584,-0.05442781384736379
296,-0.9037092549314584,-0.02412229763202405
297,-0.9037092549314584,-0.03325845803695922
298,-0.9037092549314584,0.006845050870186941
299,-0.9037092549314584,-0.01917329839238349
300,-0.9037092549314584,0.0012587997351312607
301,-0.9037092549314584,-0.047356160931754064
302,-0.9357294022097534,-0.12349510212559553
303,-0.9357294022097534,-0.2419583440911079
304,-0.9357294022097534,-0.28862737081067946
305,-0.9357294022097534,-0.3303326498456036
306,-0.9357294022097534,-0.2451186930373095
307,-0.9357294022097534,-0.22918409313191915
308,-0.9898323748520835,-0.48089234240181195
309,-0.9898323748520835,-0.5572191397097405
310,-0.9898323748520835,-0.5289242610496897
311,-0.9898323748520835,-0.4743732128216506
312,-0.9898323748520835,-0.5110465948422331
313,-0.9898323748520835,-0.5289483183313242
314,-0.9898323748520835,-0.5088293585376196
315,-0.9898323748520835,-0.49449655176554436
316,-0.9898323748520835,-0.524355295687493
317,-0.9898323748520835,-0.5201468055623402
318,-0.9898323748520835,-0.5399686534318544
319,-0.03398987915329323,-0.47486138753720153
320,-0.06564702037957326,-0.4045045209571437
321,-0.06564702037957326,-0.41003898228938895
322,-0.06564702037957326,-0.41272053965839633
323,-0.06564702037957326,-0.45453019547544293
324,-0.06564702037957326,-0.4231323017175291
325,-0.06564702037957326,-0.45181152566328087
326,-0.06564702037957326,-0.4466520887750959
327,-0.06564702037957326,-0.4443280422916462
328,-0.06564702037957326,-0.4331732619132155
329,-0.06564702037957326,-0.4603309239124724
330,-0.06564702037957326,-0.4461380104672222
331,-0.60986116294548,-0.15072903458946194
332,-0.5323519078064659,-0.1271684751586698
333,-0.5323519078064659,-0.04767992948979572
334,-0.27693837677995037,0.08739305472419624
335,-0.5054950619932839,0.0074533420439906435
336,-0.5264599584974571,-0.11502032196239276
337,-0.5264599584974571,-0.5980727374269
338,-0.7676493022339368,-0.5258602377564616
339,-0.09177141556354579,-0.4615643370754191
340,-0.856603423987845,-0.4997260178057255
341,-0.7200177352647401,-0.5308906215165717
342,0.10860231986844718,-0.5103867354327073
343,0.11164863244100073,-0.4623979502295074
344,-0.44340227036226887,-0.46386527772626246
345,-0.9357458710956252,-0.48824492080220705
346,-0.6443258404801248,-0.4482863645207495
347,-0.6443258404801248,-0.4451179509997658
348,-0.6443258404801248,-0.44022762795399883
349,-0.5906064148285975,-0.4496220425780521
350,-0.9517902834618516,-0.4697316090373738
351,-0.9517902834618516,-0.4548278103362411
352,-0.9517902834618516,-0.45505285939134515
353,-0.9517902834618516,-0.5076049278385248
354,-0.9517902834618516,-0.5084400236373752
355,-0.9517902834618516,-0.511680258288228
356,-0.9517902834618516,-0.5343346938654632
357,-0.48032479025475033,-0.5384020938136403
358,-0.48032479025475033,-0.5273987035186916
359,-0.48032479025475033,-0.25924741755786507
360,-0.48032479025475033,-0.32898789447978555
361,-0.48032479025475033,-0.3769170058847511
362,-0.48032479025475033,-0.3635697658757065
363,-0.48032479025475033,-0.37027419281110446
364,-0.48032479025475033,-0.42307057131683223
